Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.86,105.18,103.83,104.67,104.67,700300
2019-04-02,104.43,105.25,103.85,105.01,105.01,624400
2019-04-03,105.21,105.4,102.78,103.0,103.0,1783800
2019-04-04,101.68,102.43,100.85,101.3,101.3,720200
2019-04-05,100.62,101.93,99.85,100.91,100.91,975500
2019-04-08,101.13,101.71,100.35,101.46,101.46,725200
2019-04-09,101.4,102.0,100.92,101.35,101.35,490500
2019-04-10,101.31,102.49,100.86,101.62,101.62,514500
2019-04-11,101.55,101.59,100.32,100.84,100.84,1143900
2019-04-12,101.5,102.57,101.31,102.28,102.28,590900
2019-04-15,102.29,103.16,102.2,103.1,103.1,725700
2019-04-16,103.6,104.24,101.81,101.85,101.85,715500
2019-04-17,101.55,101.85,97.34,97.37,97.37,813800
2019-04-18,98.03,99.45,96.81,99.22,99.22,822600
2019-04-22,98.78,101.14,98.31,100.01,100.01,600500
2019-04-23,100.24,101.95,99.54,101.49,101.49,735900
2019-04-24,101.44,102.32,101.01,101.73,101.73,553300
2019-04-25,101.63,102.69,100.94,102.25,102.25,699000
