Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,344.9,348.66,342.76,347.93,347.46,540100
2019-04-02,349.0,349.0,346.26,348.27,347.8,391100
2019-04-03,349.2,350.91,346.02,347.0,346.53,487900
2019-04-04,346.75,347.54,344.3,345.16,344.7,477700
2019-04-05,346.32,348.44,344.09,345.49,345.49,391000
2019-04-08,344.19,346.07,341.43,343.83,343.83,540700
2019-04-09,341.39,344.29,340.83,343.01,343.01,396700
2019-04-10,343.74,343.74,341.64,342.92,342.92,255500
2019-04-11,344.44,347.12,341.42,346.47,346.47,256100
2019-04-12,348.11,351.39,347.08,351.26,351.26,298300
2019-04-15,352.63,353.63,349.47,351.43,351.43,265600
2019-04-16,352.88,353.12,348.4,349.39,349.39,409400
2019-04-17,350.36,351.67,347.02,347.97,347.97,252500
2019-04-18,349.99,350.94,347.78,349.72,349.72,378800
2019-04-22,348.16,351.08,347.08,350.84,350.84,271100
2019-04-23,350.26,353.69,348.86,351.29,351.29,543000
2019-04-24,352.47,352.47,348.24,350.26,350.26,706000
2019-04-25,355.2,363.85,341.84,347.15,347.15,727000
