Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.84,80.95,79.54,79.99,79.99,1359400
2019-04-02,80.15,80.19,79.46,79.74,79.74,950000
2019-04-03,79.96,80.56,79.5,79.93,79.93,2207500
2019-04-04,80.17,80.22,79.43,79.55,79.55,851500
2019-04-05,79.53,79.85,79.42,79.76,79.76,1122700
2019-04-08,79.7,79.78,79.27,79.73,79.73,1057800
2019-04-09,79.55,79.78,79.22,79.29,79.29,854900
2019-04-10,79.49,79.74,79.24,79.65,79.65,1194500
2019-04-11,78.0,78.11,76.13,77.43,77.43,2376600
2019-04-12,77.64,78.26,77.52,78.22,78.22,1381000
2019-04-15,79.16,79.39,78.47,79.08,79.08,1426900
2019-04-16,79.2,79.28,78.45,78.76,78.76,945600
2019-04-17,78.91,78.99,78.48,78.6,78.6,1029300
2019-04-18,78.74,79.26,78.38,79.04,79.04,1135300
2019-04-22,78.89,79.12,78.7,78.93,78.93,965400
2019-04-23,78.93,79.59,78.73,79.56,79.56,1009100
2019-04-24,79.42,79.92,79.29,79.32,79.32,1749400
2019-04-25,79.45,79.88,79.1,79.47,79.47,1350500
