Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,89.93,101.9,89.35,101.5,101.5,29699600
2014-06-01,101.3,102.57,96.64,102.3,102.3,17464400
2014-07-01,102.27,109.52,99.7,106.93,106.93,22132000
2014-08-01,107.22,111.73,104.38,110.29,110.29,22518300
2014-09-01,110.39,114.37,108.56,110.9,110.9,21634400
2014-10-01,110.3,116.05,103.83,112.33,112.33,24385200
2014-11-01,112.0,122.79,108.73,121.67,121.67,19841200
2014-12-01,120.97,121.57,108.5,110.76,110.76,25179100
2015-01-01,111.31,121.61,107.53,116.7,116.7,19264400
2015-02-01,116.62,125.0,115.35,124.71,124.71,17823000
2015-03-01,125.0,126.65,117.09,117.1,117.1,20858700
2015-04-01,117.93,124.98,115.47,115.82,115.82,17961000
2015-05-01,116.19,118.89,111.58,111.81,111.81,17880600
2015-06-01,112.36,121.18,111.6,114.97,114.97,20708000
2015-07-01,115.79,121.23,113.92,120.72,120.72,17716600
2015-08-01,120.93,128.47,111.38,118.2,118.2,21760900
2015-09-01,115.63,119.82,102.65,104.74,104.74,24815500
2015-10-01,104.13,119.66,102.13,119.02,119.02,21239000
2015-11-01,118.76,121.45,101.12,105.16,105.16,27237000
2015-12-01,105.49,111.16,100.12,105.07,105.07,22441800
2016-01-01,104.62,107.44,84.19,99.28,99.28,31085800
2016-02-01,98.58,98.7,82.8,94.89,94.89,33707700
2016-03-01,95.74,101.4,91.06,100.17,100.17,24110800
2016-04-01,99.14,105.53,98.4,103.04,103.04,15576700
2016-05-01,103.53,105.38,96.68,99.4,99.4,31370900
2016-06-01,99.81,108.3,97.94,107.94,107.94,22817100
2016-07-01,108.18,115.29,107.58,115.0,115.0,20049400
2016-08-01,114.6,117.67,110.76,114.15,114.15,14630400
2016-09-01,114.53,118.57,107.36,112.16,112.16,15865800
2016-10-01,111.76,116.27,108.15,113.28,113.28,15220100
2016-11-01,113.6,113.9,95.66,98.96,98.96,37110000
2016-12-01,99.1,105.89,95.76,103.26,103.26,18100800
2017-01-01,105.25,107.99,102.06,105.26,105.26,16043000
2017-02-01,105.78,116.7,103.3,115.77,115.77,18490200
2017-03-01,116.16,120.51,112.73,120.37,120.37,30763200
2017-04-01,119.95,127.05,118.59,126.49,126.49,18956200
2017-05-01,126.74,140.38,126.06,138.18,138.18,26696400
2017-06-01,138.3,139.75,129.4,134.9,134.9,22735700
2017-07-01,135.05,138.99,133.27,137.55,137.55,16963700
2017-08-01,135.1,154.71,134.5,153.55,153.55,47626300
2017-09-01,154.42,154.5,140.62,144.05,144.05,29054100
2017-10-01,143.82,159.14,142.31,157.18,157.18,24403500
2017-11-01,157.25,173.97,151.43,169.75,169.75,24426900
2017-12-01,169.8,170.64,156.02,163.36,163.36,18927800
2018-01-01,163.08,176.0,154.95,174.5,174.5,20749200
2018-02-01,174.41,177.67,154.36,157.27,157.27,26079500
2018-03-01,157.57,175.0,151.43,170.92,170.92,24325000
2018-04-01,171.15,173.85,156.42,160.23,160.23,26296000
2018-05-01,161.84,163.13,151.24,158.07,158.07,17673100
2018-06-01,158.51,166.18,155.61,165.12,165.12,16891200
2018-07-01,164.68,167.41,156.39,158.25,158.25,19232900
2018-08-01,157.02,162.66,153.26,155.23,155.23,20749300
2018-09-01,154.77,161.8,154.32,160.63,160.63,12165400
2018-10-01,158.4,164.66,146.13,162.17,162.17,19175100
2018-11-01,162.98,174.19,161.89,170.81,170.81,18401100
2018-12-01,171.81,173.66,155.19,161.89,161.89,17756000
2019-01-01,160.1,182.8,158.07,182.53,182.53,14542400
2019-02-01,182.94,186.35,178.1,180.56,180.56,12297900
2019-03-01,181.21,200.04,178.85,199.66,199.66,15980900
2019-04-01,200.22,204.34,193.91,201.07,201.07,10849500
2019-04-26,199.68,201.23,199.34,201.07,201.07,386115
