Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,26.54,27.1,24.56,25.21,23.96,141134500.0
2014-05-07,,,,,,
2014-06-01,25.33,27.5,24.68,26.93,25.65,135281500.0
2014-07-01,27.07,28.65,26.44,27.75,26.43,118171200.0
2014-08-01,27.55,29.16,26.99,28.51,27.16,94979400.0
2014-08-06,,,,,,
2014-09-01,28.66,31.0,28.04,29.39,28.06,134809400.0
2014-10-01,29.2,29.95,23.35,28.67,27.37,229386400.0
2014-11-01,28.75,29.16,28.05,28.32,27.03,101668200.0
2014-11-05,,,,,,
2014-12-01,28.08,30.89,27.23,30.19,28.88,151581900.0
2015-01-01,30.41,30.57,25.43,25.98,24.85,163548900.0
2015-02-01,26.06,30.2,25.81,29.34,28.07,126759200.0
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-03-01,29.34,31.73,28.93,30.44,29.25,163897400.0
2015-04-01,30.36,31.13,29.12,30.5,29.3,130328300.0
2015-05-01,30.67,32.43,30.6,31.65,30.41,126682000.0
2015-05-06,,,,,,
2015-06-01,31.73,33.78,31.1,32.65,31.43,160816900.0
2015-07-01,33.16,35.53,31.45,34.88,33.58,177634300.0
2015-08-01,34.93,35.72,27.53,30.38,29.24,198907900.0
2015-08-05,,,,,,
2015-09-01,29.5,31.86,27.1,28.56,27.54,248386000.0
2015-10-01,28.52,31.28,26.4,30.52,29.43,229117400.0
2015-11-01,30.66,34.17,30.47,33.71,32.51,182140900.0
2015-11-04,,,,,,
2015-12-01,33.92,34.52,31.62,32.93,31.81,170675000.0
2016-01-01,31.95,32.23,24.37,25.53,24.67,277735400.0
2016-02-01,25.43,25.71,21.51,25.05,24.2,265371700.0
2016-02-10,,,,,,
2016-03-01,25.37,29.04,25.27,28.02,27.14,210144000.0
2016-04-01,27.74,30.23,26.27,28.41,27.52,159047500.0
2016-05-01,28.44,31.07,26.95,30.58,29.62,148867800.0
2016-05-11,,,,,,
2016-06-01,30.58,30.96,24.02,25.31,24.58,286415600.0
2016-07-01,25.2,29.03,23.83,28.42,27.6,192797500.0
2016-08-01,28.55,31.87,27.71,31.46,30.55,168845900.0
2016-08-10,,,,,,
2016-09-01,31.64,31.85,29.86,31.57,30.73,155022600.0
2016-10-01,31.56,32.89,30.9,31.7,30.85,159474500.0
2016-11-01,31.9,39.35,30.66,38.66,37.63,233706400.0
2016-11-09,,,,,,
2016-11-10,,,,,,
2016-12-01,39.11,40.58,38.46,39.47,38.58,198849400.0
2017-01-01,40.05,42.61,39.14,41.24,40.31,140961100.0
2017-02-01,41.67,42.46,39.03,40.41,39.5,163623000.0
2017-02-08,,,,,,
2017-03-01,41.5,43.65,37.62,40.81,39.97,177524300.0
2017-04-01,40.81,40.96,37.16,38.85,38.05,172757600.0
2017-05-01,39.1,40.82,37.63,38.75,37.95,154172500.0
2017-05-10,,,,,,
2017-06-01,39.09,44.1,38.33,42.96,42.16,166788100.0
2017-07-01,43.21,44.1,41.71,42.9,42.1,130491300.0
2017-08-01,43.18,43.78,38.73,40.74,39.98,138479400.0
2017-08-09,,,,,,
2017-09-01,40.0,44.35,38.06,43.74,43.0,145100400.0
2017-10-01,43.82,46.21,42.2,44.84,44.09,140192500.0
2017-11-01,45.09,49.54,43.33,48.79,47.97,110356500.0
2017-11-09,,,,,,
2017-12-01,48.82,52.52,48.0,51.37,50.6,131013400.0
2018-01-01,51.55,56.25,50.96,53.34,52.54,149096300.0
2018-02-01,53.28,55.39,48.04,53.02,52.22,149991400.0
2018-02-08,,,,,,
2018-03-01,52.9,58.11,50.02,52.22,51.53,150402400.0
2018-04-01,52.0,56.42,49.74,55.68,54.95,154664700.0
2018-05-01,55.52,60.22,54.06,55.62,54.89,140219500.0
2018-05-10,,,,,,
2018-06-01,56.53,58.25,51.05,51.1,50.51,108886800.0
2018-07-01,50.56,54.26,49.35,51.06,50.48,123270300.0
2018-08-01,51.49,52.61,49.32,50.79,50.21,126407300.0
2018-08-09,,,,,,
2018-08-17,,,,,,
2018-09-01,50.78,52.7,49.06,49.15,48.84,108239500.0
2018-10-01,49.35,52.47,42.01,46.24,45.95,218493400.0
2018-11-01,46.34,49.24,43.92,44.8,44.51,164028100.0
2018-11-08,,,,,,
2018-12-01,45.79,46.37,37.83,41.53,41.38,192081700.0
2019-01-01,40.7,48.23,40.49,46.77,46.6,152168800.0
2019-02-01,46.88,47.52,43.88,46.01,45.84,114964600.0
2019-02-13,,,,,,
2019-03-01,46.49,47.1,41.46,42.76,42.76,144542600.0
2019-04-01,43.35,46.75,43.2,44.9,44.9,120823500.0
2019-04-26,45.29,45.4,44.41,44.9,44.9,6663757.0
