Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,431.82,435.47,429.34,433.33,433.33,595300
2019-04-02,435.0,437.27,431.17,437.17,437.17,421200
2019-04-03,439.0,441.6,438.4,440.68,440.68,578300
2019-04-04,441.87,446.83,440.5,444.38,444.38,398200
2019-04-05,443.73,449.81,443.73,449.23,449.23,422900
2019-04-08,448.5,448.5,443.87,446.43,446.43,403000
2019-04-09,443.95,446.07,441.44,443.74,443.74,388200
2019-04-10,443.9,444.5,437.76,443.71,443.71,457600
2019-04-11,445.21,445.6,442.74,443.26,443.26,359300
2019-04-12,445.22,445.62,437.64,441.53,441.53,609100
2019-04-15,442.7,444.15,440.58,443.77,443.77,410900
2019-04-16,443.97,450.61,443.33,450.47,450.47,448600
2019-04-17,450.0,451.0,441.95,442.91,442.91,555100
2019-04-18,445.23,453.65,444.2,452.43,452.43,761800
2019-04-22,449.64,455.47,449.29,451.89,451.89,788900
2019-04-23,450.0,465.1,444.7,460.44,460.44,1253500
2019-04-24,459.85,460.84,455.88,457.9,457.9,578300
2019-04-25,456.09,457.29,450.75,451.3,451.3,493200
