Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,106.72,109.81,100.3,105.45,105.45,16975000
2014-06-01,105.67,120.07,103.8,116.62,116.62,9962400
2014-07-01,117.25,119.16,108.2,109.02,109.02,8137400
2014-08-01,108.72,111.88,102.36,111.32,111.32,6984500
2014-09-01,111.68,117.37,109.94,112.09,112.09,7272500
2014-10-01,111.19,112.43,91.54,111.99,111.99,11699500
2014-11-01,112.33,115.0,104.95,105.15,105.15,4780800
2014-12-01,104.56,118.72,100.54,116.07,116.07,8947300
2015-01-01,116.69,118.6,102.77,112.9,112.9,8621900
2015-02-01,113.62,127.22,112.16,122.9,122.9,7818500
2015-03-01,122.74,128.85,120.02,127.04,127.04,8099100
2015-04-01,127.55,135.0,122.63,132.76,132.76,7037300
2015-05-01,133.28,137.12,128.41,134.91,134.91,5855300
2015-06-01,135.22,149.62,132.69,143.98,143.98,7873400
2015-07-01,146.81,152.99,136.91,143.1,143.1,8727700
2015-08-01,143.06,149.67,100.76,125.08,125.08,12139000
2015-09-01,121.73,129.4,112.55,115.54,115.54,9119000
2015-10-01,115.29,129.35,108.01,122.07,122.07,13025800
2015-11-01,123.29,141.75,122.08,132.48,132.48,8933600
2015-12-01,133.24,134.43,117.26,118.9,118.9,13440600
2016-01-01,116.67,118.09,92.97,101.32,101.32,20106100
2016-02-01,101.24,103.73,77.87,88.85,88.85,18157600
2016-03-01,89.3,104.65,88.2,102.05,102.05,15385200
2016-04-01,101.03,115.93,96.34,104.28,104.28,14349400
2016-05-01,104.08,110.88,91.37,110.2,110.2,12911300
2016-06-01,108.04,110.97,82.9,95.16,95.16,16257100
2016-07-01,94.23,105.26,87.28,100.42,100.42,11225400
2016-08-01,100.77,112.42,96.87,111.06,111.06,9319100
2016-09-01,110.99,112.83,103.12,110.54,110.54,8708000
2016-10-01,109.61,128.5,108.94,122.27,122.27,12426500
2016-11-01,121.75,159.9,116.59,158.03,158.03,13029300
2016-12-01,158.18,175.74,158.18,170.8,170.8,10511500
2017-01-01,174.66,180.48,165.05,172.23,172.23,10851100
2017-02-01,174.51,191.96,169.47,190.89,190.89,8395300
2017-03-01,196.94,198.83,170.0,186.09,186.09,14279500
2017-04-01,187.11,194.87,173.0,175.94,175.94,9493700
2017-05-01,176.93,187.0,166.44,170.5,170.5,14282300
2017-06-01,172.47,185.25,165.08,175.79,175.79,11171800
2017-07-01,177.17,186.19,172.0,178.44,178.44,9319500
2017-08-01,180.2,187.71,163.69,169.34,169.34,8689000
2017-09-01,169.71,191.38,159.44,187.09,187.09,8192700
2017-10-01,186.54,223.82,180.33,219.28,219.28,9777700
2017-11-01,220.45,233.46,204.32,227.64,227.64,7885900
2017-12-01,227.04,242.92,219.56,233.77,233.77,9936000
2018-01-01,235.89,263.09,233.35,246.55,246.55,8509700
2018-02-01,245.28,257.3,226.61,248.98,248.98,8165400
2018-03-01,249.71,271.79,232.27,240.01,240.01,23094700
2018-04-01,240.0,306.94,227.78,299.61,299.61,12917200
2018-05-01,295.0,327.91,294.23,312.13,312.13,11185600
2018-06-01,316.93,329.65,287.57,288.76,288.76,10802800
2018-07-01,285.45,333.74,284.42,307.88,307.88,10037400
2018-08-01,308.24,332.9,308.24,322.75,322.75,8362800
2018-09-01,322.33,329.88,310.16,310.83,310.83,7008200
2018-10-01,313.07,330.5,216.32,237.23,237.23,19070100
2018-11-01,239.0,256.36,225.0,254.81,254.81,13688400
2018-12-01,260.47,263.16,177.7,189.92,189.92,17681800
2019-01-01,186.55,244.98,186.55,233.38,233.38,14081000
2019-02-01,234.83,254.98,229.1,247.16,247.16,7921300
2019-03-01,249.82,254.47,207.7,222.36,222.36,9906700
2019-04-01,225.0,251.39,223.86,247.63,247.63,9078100
2019-04-26,242.0,247.87,235.0,247.63,247.63,1106639
