Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,158.13,160.03,157.8,159.26,159.26,430000
2019-04-02,159.17,159.43,157.43,159.02,159.02,475400
2019-04-03,159.82,160.41,158.5,159.09,159.09,747000
2019-04-04,159.84,162.13,159.39,161.2,161.2,354800
2019-04-05,161.68,162.33,161.02,161.21,161.21,464300
2019-04-08,160.5,160.85,159.43,160.04,160.04,601200
2019-04-09,158.59,158.99,156.74,157.24,157.24,736400
2019-04-10,155.75,155.75,150.75,153.8,153.8,914000
2019-04-11,154.05,156.77,154.05,155.26,155.26,458400
2019-04-12,156.56,157.43,154.65,155.97,155.97,487000
2019-04-15,156.35,157.36,156.04,156.4,156.4,607200
2019-04-16,154.34,157.8,152.7,156.81,156.81,1074500
2019-04-17,157.64,158.24,156.42,157.84,157.84,1180400
2019-04-18,168.0,174.0,167.23,168.07,168.07,2511700
2019-04-22,167.16,168.86,164.47,168.41,168.41,882300
2019-04-23,169.39,171.74,168.5,171.21,171.21,910300
2019-04-24,171.3,172.59,169.44,169.93,169.93,599800
2019-04-25,169.04,169.19,166.59,168.16,168.16,459300
