Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,116.49,117.78,115.84,117.57,117.57,1392000
2019-04-02,117.57,117.66,115.74,117.51,117.51,1497100
2019-04-03,118.45,119.23,116.94,117.42,117.42,2138300
2019-04-04,117.49,117.77,114.48,115.26,115.26,1239700
2019-04-05,115.88,116.74,115.02,116.59,116.59,1845400
2019-04-08,116.22,116.67,114.83,116.43,116.43,990400
2019-04-09,116.12,117.01,116.06,116.69,116.69,768100
2019-04-10,116.8,117.73,116.69,117.28,117.28,740500
2019-04-11,117.58,118.27,116.86,117.76,117.76,881400
2019-04-12,118.69,119.21,117.39,118.19,118.19,832600
2019-04-15,118.31,118.94,117.03,117.57,117.57,767200
2019-04-16,118.08,118.51,116.12,116.73,116.73,765600
2019-04-17,117.45,117.57,115.97,116.04,116.04,1049400
2019-04-18,116.55,116.55,113.81,115.98,115.98,1064400
2019-04-22,115.7,117.46,115.01,116.99,116.99,491900
2019-04-23,118.42,120.75,118.03,119.89,119.89,1406400
2019-04-24,120.25,121.37,119.78,119.87,119.87,948500
2019-04-25,119.95,120.43,118.41,119.7,119.7,708300
