Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,66.46,67.97,66.36,67.59,67.59,2491600
2019-04-02,67.48,68.27,67.09,67.21,67.21,1322900
2019-04-03,67.91,68.5,67.66,68.03,68.03,1179300
2019-04-04,68.23,69.23,67.98,68.64,68.64,1000300
2019-04-05,68.9,69.14,68.22,68.57,68.57,1125700
2019-04-08,68.6,69.18,68.31,69.15,69.15,970600
2019-04-09,68.71,68.75,67.69,68.43,68.43,1358800
2019-04-10,68.0,69.06,67.73,69.0,69.0,1477300
2019-04-11,69.4,70.36,69.11,69.52,69.52,1285000
2019-04-12,70.86,72.0,70.44,71.03,71.03,1626800
2019-04-15,70.9,71.48,69.95,70.12,70.12,1163500
2019-04-16,70.47,71.79,70.4,71.71,71.71,1103100
2019-04-17,70.31,70.36,68.85,69.63,69.63,2361400
2019-04-18,69.51,70.36,69.17,69.96,69.96,1799100
2019-04-22,69.9,70.33,69.27,69.9,69.9,2216800
2019-04-23,68.0,68.3,64.66,66.86,66.86,6216900
2019-04-24,66.48,66.94,65.54,66.13,66.13,2561100
2019-04-25,65.86,67.71,65.49,67.09,67.09,2477300
