Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,137.99,139.85,137.07,139.51,139.51,1221000
2019-04-02,139.36,139.73,137.64,139.3,139.3,640100
2019-04-03,140.0,142.33,139.81,140.75,140.75,875600
2019-04-04,140.75,143.13,140.65,142.94,142.94,960500
2019-04-05,143.01,144.05,142.55,142.79,142.79,1153300
2019-04-08,142.25,144.07,141.68,144.0,144.0,882400
2019-04-09,142.61,142.77,140.27,141.87,141.87,1430600
2019-04-10,141.97,142.71,141.11,142.46,142.46,839300
2019-04-11,142.63,145.06,142.36,144.38,144.38,1173100
2019-04-12,145.61,146.58,144.81,146.17,146.17,1074400
2019-04-15,145.91,148.13,145.91,146.61,146.61,1389700
2019-04-16,146.94,147.26,145.39,145.82,145.82,1375600
2019-04-17,146.37,146.66,144.28,144.62,144.62,1318900
2019-04-18,145.1,146.13,144.38,145.74,145.74,1737800
2019-04-22,145.48,146.14,144.28,145.43,145.43,909400
2019-04-23,145.54,147.45,145.04,147.45,147.45,1596100
2019-04-24,150.4,154.1,144.98,145.97,145.97,3488900
2019-04-25,144.95,145.98,143.47,143.49,143.49,1493300
