Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,23.0,24.0,22.6,23.0,21.73,56483900.0
2014-08-01,22.9,25.94,22.67,25.79,24.37,51765900.0
2014-09-01,25.7,26.02,23.88,24.55,23.2,41568300.0
2014-10-01,24.44,27.45,23.76,27.02,25.53,29477400.0
2014-11-01,27.08,29.56,26.25,29.01,27.41,27723700.0
2014-12-01,29.0,30.64,28.15,29.75,28.11,20907500.0
2015-01-01,29.79,32.0,27.92,30.86,29.16,26529100.0
2015-02-01,30.84,33.96,30.69,31.95,30.19,23238000.0
2015-03-01,31.95,32.88,29.93,30.35,28.68,17152400.0
2015-04-01,30.13,32.04,29.5,31.15,29.43,24519200.0
2015-05-01,31.39,33.42,31.25,32.29,30.51,16902100.0
2015-06-01,32.36,33.88,31.9,32.93,31.12,17464500.0
2015-07-01,33.1,36.4,31.94,34.36,32.47,20145000.0
2015-08-01,34.43,35.5,30.27,32.95,31.13,27015800.0
2015-09-01,32.54,32.83,30.12,31.3,29.58,37020800.0
2015-10-01,31.31,33.87,28.91,30.76,29.07,121446100.0
2015-11-01,30.56,34.6,29.92,31.83,30.08,583746000.0
2015-12-01,32.12,32.6,29.32,30.41,28.73,209632600.0
2016-01-01,29.98,30.28,26.28,28.42,26.85,215056600.0
2016-02-01,28.43,28.6,23.74,26.95,25.47,226622900.0
2016-03-01,27.25,28.99,26.78,28.66,27.08,150062900.0
2016-04-01,28.62,31.23,27.76,30.57,28.89,130725600.0
2016-05-01,30.78,31.45,28.73,31.2,29.48,125003100.0
2016-06-01,31.15,31.97,23.25,25.28,23.89,307635800.0
2016-07-01,25.24,28.89,24.83,27.88,26.34,154775800.0
2016-08-01,27.9,28.44,26.6,27.83,26.3,123509900.0
2016-08-10,,,,,,
2016-09-01,27.83,28.11,26.53,28.0,26.58,131460200.0
2016-10-01,27.84,29.33,26.09,28.59,27.14,167741000.0
2016-11-01,28.77,35.02,28.0,34.56,32.81,174899200.0
2016-11-03,,,,,,
2016-12-01,34.68,37.31,34.46,36.27,34.59,123710200.0
2017-01-01,36.75,38.06,35.17,35.82,34.16,120852500.0
2017-02-01,36.06,37.75,35.19,36.24,34.56,94493600.0
2017-02-02,,,,,,
2017-03-01,37.18,37.42,32.24,34.3,32.83,138668900.0
2017-04-01,34.45,34.54,27.24,27.8,26.61,149554200.0
2017-05-01,27.98,29.25,26.01,26.85,25.7,275457500.0
2017-05-04,,,,,,
2017-06-01,26.99,30.54,26.84,29.82,28.67,188048100.0
2017-07-01,30.06,31.9,28.8,30.32,29.15,117571100.0
2017-08-01,30.52,31.68,28.93,30.79,29.6,144954100.0
2017-08-03,,,,,,
2017-09-01,30.78,31.43,28.33,31.05,30.0,130634500.0
2017-10-01,31.17,34.08,30.38,32.62,31.52,133540600.0
2017-11-01,32.71,36.45,31.55,35.89,34.68,128106600.0
2017-11-03,,,,,,
2017-12-01,35.79,39.17,34.66,38.61,37.48,127487600.0
2018-01-01,38.8,40.59,36.75,39.68,38.52,161028600.0
2018-02-01,39.54,39.88,33.6,36.39,35.32,124499900.0
2018-02-02,,,,,,
2018-03-01,36.5,37.57,32.36,33.53,32.67,134295400.0
2018-04-01,33.43,36.21,32.22,33.17,32.32,117110000.0
2018-05-01,33.08,36.32,31.74,34.63,33.74,104854100.0
2018-05-04,,,,,,
2018-06-01,35.16,36.08,32.55,33.38,32.68,83262700.0
2018-07-01,33.11,35.01,28.64,28.94,28.33,163758100.0
2018-08-01,29.03,32.12,28.9,31.67,31.0,132762100.0
2018-08-03,,,,,,
2018-09-01,31.59,33.82,30.95,31.08,30.64,87947000.0
2018-10-01,31.25,32.05,27.6,28.88,28.47,124437000.0
2018-11-01,29.08,29.48,25.06,25.98,25.61,135260100.0
2018-11-02,,,,,,
2018-12-01,26.23,26.42,21.77,23.46,23.3,152196400.0
2019-01-01,23.15,30.43,23.12,30.04,29.83,199326000.0
2019-02-01,29.84,32.65,29.19,32.61,32.38,141471700.0
2019-02-01,,,,,,
2019-03-01,32.8,33.56,31.08,31.9,31.9,131690300.0
2019-04-01,32.09,34.4,32.07,34.4,34.4,147381700.0
2019-04-26,33.48,34.4,33.46,34.4,34.4,5281453.0
