Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.09,32.73,32.07,32.58,32.58,4426100
2019-04-02,32.58,32.65,32.35,32.42,32.42,5471500
2019-04-03,32.5,32.7,32.24,32.35,32.35,6711700
2019-04-04,32.48,32.8,32.38,32.5,32.5,2838800
2019-04-05,32.45,32.72,32.28,32.31,32.31,3704100
2019-04-08,32.35,32.54,32.19,32.54,32.54,2935300
2019-04-09,32.47,32.47,32.16,32.27,32.27,4668600
2019-04-10,32.27,32.63,32.27,32.55,32.55,3026700
2019-04-11,32.68,33.15,32.52,32.62,32.62,3493700
2019-04-12,32.95,33.25,32.75,33.0,33.0,69332000
2019-04-15,33.09,33.37,32.65,32.95,32.95,3398200
2019-04-16,33.09,33.24,32.77,33.16,33.16,3230600
2019-04-17,33.29,33.42,33.06,33.24,33.24,4607100
2019-04-18,33.79,33.79,32.21,33.34,33.34,6769700
2019-04-22,33.13,33.61,32.91,33.55,33.55,3998600
2019-04-23,33.51,33.59,33.22,33.46,33.46,4474400
2019-04-24,33.36,33.65,33.24,33.53,33.53,5069600
2019-04-25,33.41,33.84,33.28,33.5,33.5,3298100
