Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,77.74,85.61,77.12,84.49,79.06,32505000.0
2014-06-01,84.73,86.93,83.28,84.32,78.9,27943000.0
2014-06-26,,,,,,
2014-07-01,84.99,85.91,79.7,79.77,74.91,31244700.0
2014-08-01,79.7,83.48,78.91,83.31,78.24,24782600.0
2014-09-01,83.61,84.62,80.73,80.75,75.83,24180200.0
2014-09-26,,,,,,
2014-10-01,81.03,88.21,77.87,87.53,82.51,38750600.0
2014-11-01,87.36,93.86,86.74,92.91,87.58,20957900.0
2014-12-01,92.79,98.24,90.57,94.33,88.92,27882600.0
2014-12-29,,,,,,
2015-01-01,94.7,96.0,90.7,91.05,86.14,27717800.0
2015-02-01,91.35,95.8,89.83,94.75,89.64,20322400.0
2015-03-01,94.75,96.18,89.81,92.25,87.28,29322600.0
2015-03-27,,,,,,
2015-04-01,92.46,97.44,90.19,92.24,87.6,30611500.0
2015-05-01,92.81,97.57,92.13,96.13,91.29,20891200.0
2015-06-01,96.67,97.94,93.9,95.57,90.76,20202600.0
2015-06-26,,,,,,
2015-07-01,96.23,103.99,94.77,102.27,97.47,25154300.0
2015-08-01,102.31,105.34,91.81,98.65,94.02,30967200.0
2015-09-01,96.49,102.22,91.73,94.1,89.68,36020900.0
2015-09-28,,,,,,
2015-10-01,94.5,100.51,92.92,95.62,91.46,34391400.0
2015-11-01,95.83,98.78,95.1,96.46,92.26,29579000.0
2015-12-01,97.34,97.86,90.3,92.94,88.89,29238400.0
2015-12-29,,,,,,
2016-01-01,91.47,101.18,86.68,99.15,95.22,47581300.0
2016-02-01,96.79,102.69,94.31,99.88,95.92,35058800.0
2016-03-01,100.4,107.95,98.0,107.29,103.04,31651800.0
2016-03-29,,,,,,
2016-04-01,106.72,113.85,106.26,109.01,105.07,33389100.0
2016-05-01,109.33,112.69,108.01,111.16,107.14,24612400.0
2016-06-01,111.29,119.83,110.46,119.83,115.5,32896500.0
2016-06-28,,,,,,
2016-07-01,120.01,123.55,114.39,116.28,112.45,30962700.0
2016-08-01,116.29,117.65,112.02,115.66,111.85,21786000.0
2016-09-01,115.9,118.9,110.13,116.41,112.57,28328300.0
2016-09-28,,,,,,
2016-10-01,115.86,118.09,109.31,115.35,111.91,24529500.0
2016-11-01,115.99,121.84,106.48,113.66,110.27,42148300.0
2016-12-01,113.36,121.5,110.91,119.81,116.24,24152200.0
2016-12-28,,,,,,
2017-01-01,119.81,127.23,116.5,123.53,120.27,33756400.0
2017-02-01,123.43,129.66,121.86,128.56,125.17,21072000.0
2017-03-01,129.35,133.59,128.78,131.65,128.17,26535200.0
2017-03-29,,,,,,
2017-04-01,131.65,136.6,129.82,136.37,133.2,20247700.0
2017-05-01,136.43,143.2,132.44,142.96,139.63,23166200.0
2017-06-01,142.8,145.62,137.77,138.78,135.55,25093200.0
2017-06-28,,,,,,
2017-07-01,139.23,148.15,138.0,147.1,144.12,22022300.0
2017-08-01,147.58,148.84,137.7,141.37,138.5,27362800.0
2017-09-01,141.54,145.04,138.94,142.02,139.14,21556100.0
2017-09-28,,,,,,
2017-10-01,142.42,160.62,141.68,154.87,152.19,28431500.0
2017-11-01,155.08,157.57,152.25,156.0,153.3,23268600.0
2017-12-01,156.05,156.53,150.24,154.84,152.16,20526400.0
2017-12-28,,,,,,
2018-01-01,156.65,170.0,155.65,164.38,162.02,28770200.0
2018-02-01,163.85,166.76,146.8,162.16,159.83,28101100.0
2018-03-01,161.82,168.92,157.32,160.92,158.61,24665200.0
2018-03-28,,,,,,
2018-04-01,160.92,172.99,153.76,169.42,167.49,26580600.0
2018-05-01,169.32,176.76,163.91,174.02,172.03,22870000.0
2018-06-01,175.19,179.84,162.29,168.86,166.93,43526400.0
2018-06-28,,,,,,
2018-07-01,167.56,177.37,163.16,163.25,161.84,22815000.0
2018-08-01,163.38,171.96,163.38,169.43,167.96,23029300.0
2018-09-01,169.5,177.76,166.07,177.68,176.14,25568900.0
2018-09-27,,,,,,
2018-10-01,178.25,178.9,156.67,162.22,161.25,34301900.0
2018-11-01,163.12,175.51,162.29,175.46,174.41,27508800.0
2018-12-01,175.65,176.0,144.75,156.75,155.81,29326600.0
2018-12-28,,,,,,
2019-01-01,155.87,181.18,151.63,177.57,177.1,38668200.0
2019-02-01,177.89,189.69,175.74,188.51,188.01,25443000.0
2019-03-01,189.62,198.75,184.5,197.52,197.0,21794300.0
2019-03-28,,,,,,
2019-04-01,199.25,199.85,174.84,188.28,188.28,29675100.0
2019-04-26,187.9,188.67,185.68,188.28,188.28,801358.0
