Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,53.07,54.65,52.61,53.95,51.52,12217900.0
2014-05-29,,,,,,
2014-06-01,54.11,55.25,53.83,54.61,52.34,10112900.0
2014-07-01,54.85,56.49,52.72,52.74,50.54,12835500.0
2014-07-02,,,,,,
2014-08-01,52.61,55.31,52.05,54.55,52.28,10574600.0
2014-09-01,54.59,54.92,52.28,52.37,50.19,11392200.0
2014-10-01,52.27,53.14,49.71,52.96,50.75,20183100.0
2014-10-01,,,,,,
2014-11-01,52.91,54.23,52.58,53.75,51.64,12267500.0
2014-12-01,53.54,55.88,51.28,54.17,52.04,16061800.0
2014-12-31,,,,,,
2015-01-01,54.51,54.6,49.98,50.07,48.21,12958000.0
2015-02-01,50.05,54.36,49.77,53.25,51.27,13956300.0
2015-03-01,53.25,56.19,53.12,54.92,52.88,16054800.0
2015-03-31,,,,,,
2015-04-01,54.85,56.88,54.51,56.11,54.16,12543300.0
2015-05-01,56.43,58.16,55.89,57.07,55.09,12791300.0
2015-06-01,57.34,59.34,56.78,58.22,56.2,16497300.0
2015-06-30,,,,,,
2015-07-01,59.1,62.66,55.62,61.61,59.61,14752100.0
2015-08-01,61.71,63.26,55.59,58.46,56.56,16222200.0
2015-09-01,57.31,58.78,56.14,56.4,54.57,15419000.0
2015-09-30,,,,,,
2015-10-01,56.5,59.19,55.01,58.01,56.26,16298500.0
2015-11-01,58.18,61.02,58.18,60.62,58.79,11061700.0
2015-12-01,60.98,61.42,55.33,57.16,55.43,14612700.0
2016-01-01,56.02,57.19,50.56,54.34,52.7,16033500.0
2016-01-04,,,,,,
2016-02-01,53.92,54.62,48.47,51.22,49.79,18623400.0
2016-03-01,51.62,56.41,51.62,54.16,52.65,14233900.0
2016-03-31,,,,,,
2016-04-01,53.99,58.89,52.46,57.89,56.42,10756900.0
2016-05-01,58.18,61.71,56.85,61.63,60.06,14093900.0
2016-06-01,61.03,62.39,57.49,61.82,60.25,14149300.0
2016-06-29,,,,,,
2016-07-01,61.62,63.1,59.25,61.87,60.44,11921200.0
2016-08-01,62.0,64.74,60.49,64.68,63.19,11346100.0
2016-09-01,64.84,65.6,62.96,63.89,62.42,10170600.0
2016-10-01,63.64,65.04,62.96,63.41,61.95,9848600.0
2016-10-05,,,,,,
2016-11-01,63.72,71.49,62.86,70.09,68.62,12423600.0
2016-12-01,70.57,75.07,70.49,73.69,72.15,10980900.0
2017-01-01,74.63,75.24,72.66,73.54,72.0,8542900.0
2017-01-04,,,,,,
2017-02-01,74.09,77.86,72.59,77.53,76.05,8076400.0
2017-03-01,78.48,79.53,75.35,77.04,75.57,11077200.0
2017-03-30,,,,,,
2017-04-01,77.15,78.0,74.48,76.71,75.39,9898700.0
2017-05-01,77.07,77.76,73.99,75.5,74.21,9754300.0
2017-06-01,75.73,77.91,74.54,76.5,75.19,11272000.0
2017-06-30,,,,,,
2017-07-01,77.06,79.37,76.43,78.97,77.77,7153300.0
2017-07-03,,,,,,
2017-08-01,79.3,79.9,76.25,76.97,75.95,8774100.0
2017-09-01,77.28,80.3,74.48,80.09,79.03,8157600.0
2017-10-01,80.17,86.5,79.79,84.13,83.01,8432800.0
2017-10-05,,,,,,
2017-11-01,84.54,90.32,83.66,88.85,87.83,10288500.0
2017-12-01,89.09,91.29,86.69,90.71,89.67,10336300.0
2018-01-01,91.42,93.6,89.99,90.85,89.81,11695300.0
2018-01-04,,,,,,
2018-02-01,90.86,91.4,80.43,85.37,84.53,15273000.0
2018-03-01,85.45,87.74,80.78,84.17,83.35,14358800.0
2018-04-01,84.2,88.25,81.19,86.74,85.89,12939400.0
2018-04-02,,,,,,
2018-05-01,86.48,87.27,82.59,84.83,84.16,10120500.0
2018-06-01,85.87,86.67,80.66,81.41,80.77,12990200.0
2018-07-01,81.01,88.72,80.9,88.07,87.37,10406400.0
2018-07-03,,,,,,
2018-08-01,88.49,89.59,85.72,87.92,87.4,8207400.0
2018-09-01,87.81,89.46,81.8,86.69,86.17,10681300.0
2018-10-01,87.22,89.62,80.34,84.66,84.16,15072200.0
2018-10-04,,,,,,
2018-11-01,85.14,88.19,84.41,86.41,86.05,11461700.0
2018-12-01,87.09,89.24,69.68,74.53,74.22,14214600.0
2019-01-01,73.71,83.89,73.52,83.76,83.41,11344900.0
2019-01-03,,,,,,
2019-02-01,84.01,84.51,79.7,82.56,82.39,9244600.0
2019-03-01,83.11,84.65,80.14,81.95,81.78,11281600.0
2019-04-01,82.42,91.28,82.42,87.0,86.82,9737700.0
2019-04-04,,,,,,
2019-04-26,86.71,87.02,86.12,87.0,87.0,282512.0
