Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,82.42,84.23,82.42,84.16,83.99,685300
2019-04-02,84.09,84.56,83.57,83.87,83.7,633400
2019-04-03,84.58,85.04,84.36,84.69,84.52,548700
2019-04-04,84.56,85.32,84.31,84.57,84.57,294300
2019-04-05,84.59,85.34,84.23,85.32,85.32,606700
2019-04-08,85.14,85.56,85.08,85.46,85.46,408300
2019-04-09,84.94,84.97,84.1,84.22,84.22,376000
2019-04-10,84.28,85.15,84.1,85.02,85.02,350500
2019-04-11,85.31,86.13,84.96,85.45,85.45,423800
2019-04-12,86.52,87.13,86.06,86.84,86.84,370500
2019-04-15,86.63,87.16,85.95,86.12,86.12,351000
2019-04-16,86.47,87.31,86.39,87.1,87.1,397100
2019-04-17,87.49,87.49,86.21,86.26,86.26,703000
2019-04-18,86.51,91.28,86.51,88.74,88.74,1051900
2019-04-22,88.85,88.87,86.43,87.06,87.06,710900
2019-04-23,86.95,87.23,86.52,86.81,86.81,611300
2019-04-24,86.63,86.74,86.09,86.35,86.35,526200
2019-04-25,85.73,86.84,85.25,86.55,86.55,405300
