Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,101.34,103.63,101.31,103.3,103.3,1802700
2019-04-02,103.33,103.69,102.8,103.27,103.27,687000
2019-04-03,103.94,104.29,103.22,103.3,103.3,948600
2019-04-04,103.25,103.78,102.31,103.01,103.01,646500
2019-04-05,103.49,104.55,103.11,104.44,104.44,1035000
2019-04-08,104.44,104.79,104.1,104.5,104.5,828200
2019-04-09,104.07,104.49,103.26,103.82,103.82,782200
2019-04-10,104.0,104.09,102.31,104.05,104.05,1026700
2019-04-11,104.59,105.62,104.31,104.75,104.75,887500
2019-04-12,106.17,106.47,104.78,105.9,105.9,779900
2019-04-15,106.0,106.29,104.62,104.95,104.95,669700
2019-04-16,105.36,106.85,105.08,106.68,106.68,823700
2019-04-17,107.0,107.0,105.54,106.09,106.09,977800
2019-04-18,106.04,106.26,105.22,105.9,105.9,1319300
2019-04-22,105.85,106.75,105.25,106.49,106.49,1312800
2019-04-23,106.47,107.78,105.31,107.5,107.5,988600
2019-04-24,111.73,111.73,106.15,109.76,109.76,1547800
2019-04-25,109.59,109.61,107.5,107.66,107.66,1226400
