Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,137.56,138.6,137.37,138.02,138.02,1547400
2019-04-02,138.38,138.38,136.59,136.81,136.81,1050200
2019-04-03,137.51,137.51,135.52,136.6,136.6,1122000
2019-04-04,136.9,136.99,135.98,136.52,136.52,1115200
2019-04-05,136.53,137.09,136.11,136.4,136.4,1090400
2019-04-08,136.81,136.81,135.46,135.88,135.88,1006300
2019-04-09,135.49,135.49,134.37,135.19,135.19,1377700
2019-04-10,135.43,135.78,134.6,135.46,135.46,1250600
2019-04-11,135.73,136.43,135.09,136.28,136.28,955900
2019-04-12,136.98,137.85,136.72,137.72,137.72,1098300
2019-04-15,137.81,137.9,136.6,136.79,136.79,779100
2019-04-16,137.38,138.58,137.13,138.34,138.34,1038500
2019-04-17,138.28,138.28,135.8,135.87,135.87,1434500
2019-04-18,138.75,141.52,138.0,138.93,138.93,2199200
2019-04-22,138.38,138.67,136.58,136.61,136.61,1254000
2019-04-23,137.0,138.17,136.81,138.01,138.01,1389900
2019-04-24,138.68,139.67,137.54,139.18,139.18,1161200
2019-04-25,138.23,139.55,137.24,139.19,139.19,1129000
