Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,38.82,40.37,37.92,39.22,38.87,39872700.0
2014-06-01,39.21,41.15,37.54,38.29,37.94,26800100.0
2014-06-11,,,,,,
2014-07-01,38.39,40.25,36.29,36.37,36.06,44974600.0
2014-08-01,36.19,39.2,35.78,38.0,37.68,31909300.0
2014-09-01,38.09,38.77,35.54,35.99,35.68,36952100.0
2014-09-10,,,,,,
2014-10-01,35.92,41.87,32.22,41.53,41.2,61032700.0
2014-11-01,41.53,44.47,41.13,43.32,42.97,32256900.0
2014-12-01,42.98,43.57,39.2,42.11,41.77,39795900.0
2014-12-10,,,,,,
2015-01-01,42.35,43.86,40.95,42.56,42.24,47309700.0
2015-02-01,42.85,45.61,42.23,44.31,43.98,30256800.0
2015-03-01,44.31,45.31,42.45,44.33,44.0,38574400.0
2015-03-11,,,,,,
2015-04-01,44.12,46.32,42.97,43.98,43.67,39946100.0
2015-05-01,44.07,46.93,43.91,45.22,44.9,29610800.0
2015-06-01,45.3,46.59,44.16,44.63,44.31,27938000.0
2015-06-10,,,,,,
2015-07-01,44.98,45.19,40.47,43.7,43.41,45452100.0
2015-08-01,43.66,43.94,32.2,38.8,38.54,40138300.0
2015-09-01,37.93,41.48,35.92,37.64,37.39,50113300.0
2015-09-09,,,,,,
2015-10-01,37.59,42.67,37.15,42.17,41.91,58169500.0
2015-11-01,42.37,43.93,40.44,42.67,42.41,33674400.0
2015-12-01,42.82,43.31,40.45,42.01,41.75,30214700.0
2015-12-09,,,,,,
2016-01-01,41.34,41.74,32.43,34.22,34.03,58790900.0
2016-02-01,33.87,34.96,30.69,34.15,33.96,52485800.0
2016-03-01,34.58,36.72,32.06,36.46,36.25,65167200.0
2016-03-09,,,,,,
2016-04-01,36.0,40.61,36.0,38.68,38.49,47542100.0
2016-05-01,38.79,39.15,37.24,38.06,37.87,30488000.0
2016-06-01,37.78,40.53,34.0,36.56,36.38,41304600.0
2016-06-08,,,,,,
2016-07-01,36.93,40.0,35.06,39.0,38.82,33215500.0
2016-08-01,38.92,41.33,38.03,40.85,40.66,22872700.0
2016-09-01,40.88,41.27,38.81,39.75,39.57,21901900.0
2016-09-07,,,,,,
2016-10-01,39.45,40.36,37.19,40.08,39.92,29972600.0
2016-11-01,40.21,46.28,38.79,46.03,45.84,30201600.0
2016-12-01,46.37,49.82,46.36,48.56,48.36,30139100.0
2016-12-07,,,,,,
2017-01-01,48.79,50.93,43.66,47.37,47.2,53344200.0
2017-02-01,47.67,49.39,46.57,47.3,47.13,31289000.0
2017-03-01,47.96,49.69,45.19,47.59,47.42,32997200.0
2017-03-08,,,,,,
2017-04-01,47.56,48.41,45.36,46.66,46.51,33077600.0
2017-05-01,46.71,48.67,45.46,47.8,47.65,31127100.0
2017-06-01,47.88,48.35,45.0,47.1,46.95,31788400.0
2017-06-07,,,,,,
2017-07-01,47.39,50.15,47.0,49.13,48.99,27134000.0
2017-08-01,49.29,49.74,47.24,49.09,48.95,23392400.0
2017-09-01,49.3,54.07,48.45,53.88,53.73,27365800.0
2017-09-14,,,,,,
2017-10-01,54.01,55.8,51.07,52.74,52.61,40886300.0
2017-11-01,53.01,55.83,52.33,55.71,55.58,25348700.0
2017-12-01,55.71,57.71,53.38,56.59,56.45,24266000.0
2017-12-14,,,,,,
2018-01-01,56.9,62.19,56.57,58.67,58.55,27853400.0
2018-02-01,58.7,61.47,54.36,59.85,59.73,35572400.0
2018-03-01,59.87,60.41,56.67,58.97,58.85,33950000.0
2018-03-08,,,,,,
2018-03-09,,,,,,
2018-04-01,58.75,65.99,56.63,62.14,62.06,47218300.0
2018-05-01,62.01,67.43,60.77,66.58,66.49,32313400.0
2018-06-01,67.0,69.36,64.57,65.91,65.82,33265700.0
2018-06-14,,,,,,
2018-07-01,65.36,68.46,63.5,68.27,68.2,40936900.0
2018-08-01,68.13,69.93,64.63,69.03,68.96,32099200.0
2018-09-01,69.02,72.87,68.54,71.47,71.39,26677900.0
2018-09-13,,,,,,
2018-10-01,71.84,72.59,51.49,53.63,53.59,58816100.0
2018-11-01,53.76,57.55,53.47,56.14,56.1,34559400.0
2018-12-01,57.06,57.69,43.27,45.99,45.95,44742300.0
2018-12-13,,,,,,
2019-01-01,45.27,53.92,44.73,53.23,53.21,46780000.0
2019-02-01,53.4,55.64,52.28,54.3,54.28,28034700.0
2019-03-01,54.75,55.14,49.57,50.66,50.64,34160700.0
2019-03-14,,,,,,
2019-04-01,51.17,58.0,49.89,53.6,53.6,35730500.0
2019-04-26,53.4,53.81,53.27,53.6,53.6,1262443.0
