Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,18.97,19.04,18.7,18.84,18.84,1375100
2019-04-02,18.78,19.09,18.69,19.03,19.03,1592600
2019-04-03,19.15,19.41,19.11,19.14,19.14,1948000
2019-04-04,19.2,19.8,19.19,19.77,19.77,1721900
2019-04-05,19.8,19.9,19.46,19.64,19.64,1474200
2019-04-08,19.56,19.59,19.32,19.5,19.5,1433900
2019-04-09,19.36,19.44,18.54,18.71,18.71,2461300
2019-04-10,19.02,19.4,18.92,19.32,19.32,1918000
2019-04-11,19.36,19.59,19.23,19.34,19.34,910800
2019-04-12,19.41,19.73,19.41,19.69,19.69,979100
2019-04-15,19.71,19.94,19.68,19.77,19.77,1537500
2019-04-16,19.79,19.84,19.45,19.5,19.5,1665900
2019-04-17,19.5,19.93,19.47,19.66,19.66,2132300
2019-04-18,19.56,19.92,19.52,19.74,19.74,2213600
2019-04-22,19.65,19.76,19.42,19.54,19.54,1431400
2019-04-23,19.64,20.04,19.6,19.94,19.94,2465200
2019-04-24,19.99,20.44,19.83,20.3,20.3,2042600
2019-04-25,20.25,20.29,19.94,20.1,20.1,2718100
