Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,40.77,45.42,38.93,44.37,44.37,93923900
2014-06-01,44.49,48.13,40.74,41.07,41.07,147170800
2014-07-01,41.74,49.28,36.65,46.39,46.39,174216800
2014-08-01,46.5,49.52,41.93,47.61,47.61,98851800
2014-09-01,48.0,52.45,45.72,46.79,46.79,104889600
2014-10-01,45.62,53.65,39.46,52.81,52.81,207252400
2014-11-01,52.95,61.93,52.81,61.23,61.23,98667600
2014-12-01,61.0,67.77,57.89,66.89,66.89,127630300
2015-01-01,67.74,74.52,62.37,69.37,69.37,124138000
2015-02-01,69.08,72.23,63.76,65.18,65.18,109812100
2015-03-01,65.18,70.31,63.09,67.25,67.25,107882000
2015-04-01,65.06,65.85,57.95,59.74,59.74,129576500
2015-05-01,60.34,63.9,51.68,54.59,54.59,126159700
2015-06-01,54.76,56.89,49.85,53.01,53.01,123221000
2015-07-01,54.05,60.0,50.1,56.39,56.39,131458100
2015-08-01,56.86,60.12,49.2,56.97,56.97,115295900
2015-09-01,56.01,62.21,52.11,53.05,53.05,206915200
2015-10-01,52.95,61.87,49.76,60.31,60.31,155360000
2015-11-01,60.61,61.75,55.58,55.73,55.73,83747200
2015-12-01,55.68,61.49,55.33,57.3,57.3,92676900
2016-01-01,55.79,56.34,42.17,48.28,48.28,150884800
2016-02-01,47.71,57.8,44.0,57.26,57.26,120241800
2016-03-01,57.63,61.41,55.29,59.86,59.86,102650800
2016-04-01,57.43,58.9,45.58,45.81,45.81,128889800
2016-05-01,46.61,47.54,43.33,45.09,45.09,114496600
2016-06-01,45.09,46.91,37.41,41.04,41.04,143700200
2016-07-01,41.02,49.87,37.64,46.89,46.89,105943300
2016-08-01,46.77,51.53,44.15,50.41,50.41,93148500
2016-09-01,50.54,54.53,49.28,52.47,52.47,103283100
2016-10-01,52.24,56.81,51.34,56.23,56.23,114923800
2016-11-01,56.25,70.18,55.53,68.95,68.95,104867200
2016-12-01,68.67,76.8,68.0,75.17,75.17,71111000
2017-01-01,74.02,76.75,69.34,70.47,70.47,72158300
2017-02-01,70.95,76.46,70.55,74.09,74.09,57817000
2017-03-01,74.64,76.65,64.16,70.64,70.64,110694200
2017-04-01,70.69,72.1,67.55,70.21,70.21,97785600
2017-05-01,70.56,81.96,70.24,79.67,79.67,72086900
2017-06-01,79.99,83.04,74.97,75.25,75.25,74194000
2017-07-01,75.85,81.39,66.45,67.68,67.68,98614800
2017-08-01,68.15,69.31,61.31,61.96,61.96,84058900
2017-09-01,62.54,63.08,57.34,60.88,60.88,109888100
2017-10-01,60.9,69.62,58.04,58.48,58.48,153805700
2017-11-01,58.2,63.84,56.51,63.32,63.32,79574500
2017-12-01,63.2,67.99,61.78,67.4,67.4,76524000
2018-01-01,67.9,79.0,65.44,67.82,67.82,135147300
2018-02-01,67.22,69.48,60.44,67.79,67.79,75668300
2018-03-01,67.78,73.41,65.67,69.47,69.47,75113700
2018-04-01,69.12,72.6,64.8,67.54,67.54,94095300
2018-05-01,67.59,72.74,65.57,69.59,69.59,62634600
2018-06-01,70.0,75.53,67.93,69.73,69.73,60887100
2018-07-01,69.4,82.04,67.94,80.4,80.4,93174400
2018-08-01,80.77,87.67,78.7,87.42,87.42,53626800
2018-09-01,87.84,91.39,86.26,89.06,89.06,55554500
2018-10-01,89.29,89.61,78.87,85.51,85.51,98781900
2018-11-01,85.62,96.8,85.62,96.7,96.7,69428900
2018-12-01,97.67,97.85,79.05,83.73,83.73,76595900
2019-01-01,81.69,88.15,77.39,87.27,87.27,93456100
2019-02-01,87.21,90.93,86.66,87.81,87.81,48060300
2019-03-01,88.46,88.62,77.02,79.78,79.78,70879500
2019-04-01,80.21,89.81,79.56,87.94,87.94,56400300
2019-04-26,86.56,88.42,86.56,87.94,87.94,1510379
