Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,80.21,81.69,79.56,80.87,80.87,2723200
2019-04-02,83.19,85.1,82.34,82.77,82.77,3795100
2019-04-03,83.25,84.92,83.1,84.2,84.2,4047800
2019-04-04,84.51,85.27,83.54,84.64,84.64,1748400
2019-04-05,84.95,85.75,84.52,84.91,84.91,3018100
2019-04-08,84.6,85.12,83.8,84.58,84.58,1853000
2019-04-09,84.09,84.64,83.46,84.25,84.25,2016700
2019-04-10,85.33,85.55,83.61,84.52,84.52,3547300
2019-04-11,84.56,86.42,84.56,85.75,85.75,2570200
2019-04-12,86.19,86.5,85.3,85.49,85.49,4507500
2019-04-15,85.31,85.43,84.08,84.52,84.52,2324200
2019-04-16,84.81,85.67,84.39,85.17,85.17,3747800
2019-04-17,87.94,89.73,87.29,89.24,89.24,6963700
2019-04-18,89.67,89.81,87.46,88.28,88.28,3508300
2019-04-22,87.77,88.55,87.15,87.56,87.56,2060600
2019-04-23,87.49,88.5,87.26,87.97,87.97,2220800
2019-04-24,88.1,88.96,87.61,88.03,88.03,2049900
2019-04-25,87.57,89.15,86.67,86.86,86.86,2151900
