Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.39,45.45,44.62,45.26,44.92,1364300
2019-04-02,45.35,45.77,44.9,45.7,45.36,1299300
2019-04-03,45.57,45.84,45.29,45.77,45.43,1976000
2019-04-04,45.81,45.81,45.13,45.43,45.09,940600
2019-04-05,45.38,45.63,45.19,45.62,45.28,1054600
2019-04-08,45.3,45.42,44.86,45.09,45.09,943000
2019-04-09,45.12,45.24,44.94,45.13,45.13,929800
2019-04-10,45.33,45.41,45.07,45.36,45.36,1146500
2019-04-11,45.43,45.71,45.31,45.48,45.48,1589800
2019-04-12,45.33,45.81,45.01,45.8,45.8,1501400
2019-04-15,45.84,45.92,45.53,45.73,45.73,1008700
2019-04-16,45.73,45.78,44.3,44.48,44.48,1148400
2019-04-17,44.56,44.56,43.55,43.7,43.7,1184800
2019-04-18,43.71,44.27,43.59,44.23,44.23,1264700
2019-04-22,44.1,44.2,43.04,43.51,43.51,997500
2019-04-23,43.72,44.27,43.59,44.1,44.1,814600
2019-04-24,44.54,44.85,44.27,44.46,44.46,1008100
2019-04-25,44.43,44.85,44.18,44.69,44.69,807200
