Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,134.89,135.59,134.51,134.75,134.75,815000
2019-04-02,134.41,134.84,133.01,133.75,133.75,464300
2019-04-03,134.63,135.13,133.59,134.25,134.25,548400
2019-04-04,134.52,134.94,133.64,133.97,133.97,416400
2019-04-05,134.38,135.02,134.33,134.72,134.72,626900
2019-04-08,134.95,135.0,132.73,133.0,133.0,553000
2019-04-09,132.32,133.98,132.19,133.85,133.85,617900
2019-04-10,133.96,135.19,133.85,134.49,134.49,815000
2019-04-11,135.14,135.18,132.29,132.42,132.42,425800
2019-04-12,133.31,134.27,132.22,132.8,132.8,817100
2019-04-15,132.78,133.24,132.1,132.74,132.74,456700
2019-04-16,133.89,133.89,125.44,126.33,126.33,1389300
2019-04-17,126.5,126.54,120.9,122.66,122.66,1321900
2019-04-18,122.69,124.69,121.54,124.51,124.51,1223800
2019-04-22,124.44,125.79,121.95,122.9,122.9,1071500
2019-04-23,123.18,129.5,122.83,128.08,128.08,1114100
2019-04-24,128.0,133.33,128.0,130.31,130.31,1732200
2019-04-25,129.6,132.91,128.53,131.7,131.7,879200
