Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,351.5,353.78,350.74,352.55,352.55,582300
2019-04-02,353.37,354.09,346.59,347.3,347.3,514300
2019-04-03,349.47,354.44,347.63,350.53,350.53,507700
2019-04-04,350.53,352.5,347.75,350.14,350.14,397200
2019-04-05,351.73,354.18,348.74,353.63,353.63,590400
2019-04-08,353.56,355.73,351.29,354.47,354.47,439700
2019-04-09,352.36,355.28,347.3,348.2,348.2,551700
2019-04-10,349.76,350.85,345.38,350.28,350.28,532300
2019-04-11,350.88,351.87,348.0,350.22,350.22,708800
2019-04-12,350.65,351.88,344.27,344.83,344.83,559500
2019-04-15,346.76,354.67,345.99,353.94,353.94,678800
2019-04-16,354.78,356.8,349.45,355.08,355.08,682200
2019-04-17,355.08,359.69,353.93,354.33,354.33,525400
2019-04-18,356.63,359.1,350.25,350.88,350.88,568000
2019-04-22,350.33,351.47,344.26,347.41,347.41,525800
2019-04-23,347.72,355.86,347.49,351.63,351.63,556500
2019-04-24,351.33,357.91,351.33,355.84,355.84,444300
2019-04-25,355.32,355.34,348.54,353.7,353.7,397600
