Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,249.71,250.2,243.06,245.54,245.54,4809500
2019-04-02,245.51,246.4,242.8,244.41,244.41,4057100
2019-04-03,246.31,247.54,244.59,245.84,245.84,2851400
2019-04-04,245.48,249.11,244.64,247.39,247.39,2255500
2019-04-05,248.95,249.31,245.17,248.78,248.78,3343000
2019-04-08,249.68,249.68,246.31,248.75,248.75,2195400
2019-04-09,247.57,249.94,245.95,248.79,248.79,2903800
2019-04-10,248.78,249.87,245.52,246.03,246.03,2753700
2019-04-11,246.05,246.92,232.68,235.42,235.42,8223400
2019-04-12,236.5,236.78,220.77,223.22,223.22,13979400
2019-04-15,225.77,230.97,224.41,230.2,230.2,10021800
2019-04-16,238.01,238.01,215.82,220.96,220.96,27361400
2019-04-17,223.79,224.24,208.07,216.84,216.84,22101400
2019-04-18,217.14,223.0,214.21,221.75,221.75,13927200
2019-04-22,224.0,227.56,221.5,227.11,227.11,11191800
2019-04-23,228.25,231.94,226.1,230.58,230.58,10261400
2019-04-24,230.09,231.63,227.75,230.35,230.35,6104100
2019-04-25,228.53,232.12,228.13,230.79,230.79,5953800
