Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,34.02,34.81,34.02,34.75,34.5,2037200
2019-04-02,34.75,35.07,34.15,34.2,33.96,2103400
2019-04-03,34.6,34.93,34.4,34.62,34.37,2370100
2019-04-04,34.64,35.17,34.54,34.82,34.57,1567500
2019-04-05,34.95,35.28,34.76,34.94,34.69,2642300
2019-04-08,34.84,35.3,34.71,35.26,35.01,1453900
2019-04-09,35.01,35.1,34.58,34.71,34.46,1695800
2019-04-10,34.74,35.5,34.71,35.38,35.13,1573200
2019-04-11,35.6,36.71,35.5,36.32,36.06,3055800
2019-04-12,36.83,37.38,36.6,37.08,36.82,2896300
2019-04-15,37.07,37.73,36.85,36.94,36.68,3437000
2019-04-16,37.15,37.57,37.0,37.54,37.27,1737000
2019-04-17,37.71,38.0,37.41,37.42,37.15,3209400
2019-04-18,37.35,37.6,36.57,36.58,36.32,2659000
2019-04-22,36.47,37.09,36.11,36.36,36.1,2287800
2019-04-23,36.39,37.28,36.3,36.96,36.7,1838000
2019-04-24,36.75,37.05,36.18,36.25,35.99,1893100
2019-04-25,36.01,36.68,35.45,36.46,36.2,2067200
