Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,115.59,118.69,114.38,118.11,118.11,2036900
2019-04-02,118.0,120.05,117.35,118.53,118.53,1147300
2019-04-03,119.93,121.76,119.79,120.98,120.98,1501400
2019-04-04,121.58,122.78,121.3,122.54,122.54,1267400
2019-04-05,123.81,124.77,123.11,123.34,123.34,1308100
2019-04-08,122.75,124.12,121.83,124.08,124.08,826200
2019-04-09,122.63,122.65,119.15,119.57,119.57,1522900
2019-04-10,119.94,121.34,118.69,121.19,121.19,897200
2019-04-11,121.55,126.12,121.38,124.75,124.75,2156400
2019-04-12,127.41,128.75,125.14,126.74,126.74,1426500
2019-04-15,127.02,127.84,125.04,125.37,125.37,2411000
2019-04-16,126.67,126.99,123.72,126.05,126.05,1323600
2019-04-17,126.63,127.18,125.15,125.76,125.76,2116100
2019-04-18,135.3,138.49,134.11,136.0,136.0,4772800
2019-04-22,135.36,137.15,133.66,135.46,135.46,1644000
2019-04-23,135.41,139.32,135.13,138.38,138.38,1587200
2019-04-24,138.53,140.6,138.0,139.89,139.89,1300700
2019-04-25,139.3,139.96,136.77,137.53,137.53,1047200
