Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,40.76,42.33,39.92,42.19,37.35,132783900.0
2014-06-01,42.22,43.92,41.82,43.32,38.35,131050700.0
2014-06-26,,,,,,
2014-07-01,43.45,43.75,41.58,42.03,37.41,134023800.0
2014-08-01,41.85,42.61,40.58,42.28,37.64,98866500.0
2014-09-01,42.34,43.58,41.44,41.83,37.24,129157100.0
2014-09-26,,,,,,
2014-10-01,41.86,42.6,38.1,42.6,38.15,180838000.0
2014-11-01,42.39,44.68,42.39,44.2,39.58,107423100.0
2014-12-01,44.15,46.1,43.02,44.95,40.25,145977900.0
2014-12-29,,,,,,
2015-01-01,45.43,45.49,40.7,41.91,37.73,165812800.0
2015-02-01,42.2,45.26,41.68,44.61,40.16,112911300.0
2015-03-01,44.61,45.46,42.71,43.67,39.31,135234800.0
2015-03-27,,,,,,
2015-04-01,43.54,44.18,42.12,42.87,38.81,130877200.0
2015-05-01,43.0,44.73,42.76,43.11,39.03,110445300.0
2015-06-01,43.25,45.29,42.7,43.4,39.29,151195000.0
2015-06-26,,,,,,
2015-07-01,43.92,46.26,42.65,45.21,41.17,158460500.0
2015-08-01,45.13,46.02,38.81,42.35,38.56,149520900.0
2015-09-01,41.34,42.69,40.0,41.01,37.34,209359200.0
2015-09-28,,,,,,
2015-10-01,41.02,43.23,39.28,42.18,38.65,167054300.0
2015-11-01,42.24,44.41,42.23,43.89,40.21,123288300.0
2015-12-01,44.14,44.58,41.84,42.67,39.09,140230700.0
2015-12-29,,,,,,
2016-01-01,41.75,41.82,37.97,40.06,36.92,191107700.0
2016-02-01,39.89,40.71,37.07,38.52,35.5,189315500.0
2016-03-01,38.69,41.54,38.69,40.59,37.41,140157700.0
2016-03-29,,,,,,
2016-04-01,40.31,43.94,38.83,42.69,39.59,167779700.0
2016-05-01,43.02,43.23,40.57,42.82,39.71,159767100.0
2016-06-01,42.45,43.15,38.48,40.33,37.41,165529600.0
2016-06-28,,,,,,
2016-07-01,40.15,42.5,38.63,42.17,39.37,122896700.0
2016-08-01,42.15,44.23,41.13,44.15,41.22,125591500.0
2016-09-01,44.25,44.26,42.17,42.89,40.04,145050700.0
2016-09-28,,,,,,
2016-10-01,42.69,45.14,42.37,44.76,42.06,149712900.0
2016-11-01,44.88,49.77,43.83,49.62,46.63,184362300.0
2016-12-01,49.81,52.68,49.63,51.37,48.28,146903000.0
2016-12-28,,,,,,
2017-01-01,51.62,53.14,49.99,52.65,49.74,134671600.0
2017-02-01,53.16,55.51,52.53,55.0,51.97,123465800.0
2017-03-01,55.87,56.61,51.05,51.5,48.66,172838500.0
2017-03-29,,,,,,
2017-04-01,51.62,52.62,49.55,51.28,48.71,136557700.0
2017-05-01,51.55,52.81,50.1,50.89,48.34,120961600.0
2017-06-01,51.16,53.46,50.58,51.92,49.32,146915900.0
2017-06-28,,,,,,
2017-07-01,52.15,53.71,51.4,52.78,50.41,115726600.0
2017-08-01,52.96,53.65,51.17,51.25,48.95,99775000.0
2017-09-01,51.38,54.35,49.54,53.59,51.18,113567900.0
2017-09-28,,,,,,
2017-10-01,53.29,54.82,52.34,54.38,52.23,125305000.0
2017-11-01,54.58,55.92,51.14,55.15,52.97,112685900.0
2017-12-01,55.23,56.43,53.58,53.58,51.46,103318200.0
2017-12-28,,,,,,
2018-01-01,54.05,58.5,53.79,57.14,55.18,144199200.0
2018-02-01,56.93,57.8,51.87,54.36,52.5,149613100.0
2018-03-01,54.39,55.51,49.15,50.5,48.77,144554100.0
2018-03-28,,,,,,
2018-04-01,50.45,51.89,49.03,50.45,49.02,154604600.0
2018-05-01,50.25,51.86,48.49,49.99,48.57,139432800.0
2018-06-01,50.5,52.23,49.24,50.02,48.6,164303100.0
2018-06-28,,,,,,
2018-07-01,49.62,53.35,49.59,53.01,51.82,155872100.0
2018-08-01,53.31,54.72,52.14,54.11,52.89,113060900.0
2018-09-01,54.21,55.56,52.48,52.81,51.62,105851400.0
2018-09-27,,,,,,
2018-10-01,52.95,54.66,50.01,52.27,51.45,201322100.0
2018-11-01,52.39,55.35,51.49,54.46,53.6,155835200.0
2018-12-01,54.88,55.04,43.14,45.7,44.98,203391500.0
2018-12-28,,,,,,
2019-01-01,45.22,51.63,45.05,51.16,50.77,160633000.0
2019-02-01,51.26,52.19,49.94,51.69,51.29,115914500.0
2019-03-01,52.12,52.96,47.57,48.19,47.82,128007700.0
2019-03-28,,,,,,
2019-04-01,48.55,52.35,48.3,52.34,52.34,124247600.0
2019-04-26,51.91,52.35,51.72,52.34,52.34,5008019.0
