Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,129.99,133.43,129.99,133.19,133.19,5300800
2019-04-02,133.07,133.37,131.55,131.9,131.9,2905500
2019-04-03,132.61,132.72,130.61,131.31,131.31,2840000
2019-04-04,131.5,133.27,130.85,132.7,132.7,2231700
2019-04-05,133.16,133.8,132.56,133.72,133.72,2500800
2019-04-08,132.33,133.63,131.19,133.56,133.56,2717700
2019-04-09,132.65,132.91,131.2,132.25,132.25,2089800
2019-04-10,132.29,132.33,130.26,131.66,131.66,2721600
2019-04-11,131.77,133.0,131.48,132.82,132.82,1741900
2019-04-12,133.82,135.32,133.65,135.3,135.3,2865500
2019-04-15,135.0,135.26,134.07,134.55,134.55,1874900
2019-04-16,134.86,135.36,134.41,135.34,135.34,1999000
2019-04-17,135.59,136.3,134.73,135.79,135.79,2785000
2019-04-18,136.01,137.75,136.01,137.0,137.0,2498500
2019-04-22,136.35,137.47,135.69,136.91,136.91,2954200
2019-04-23,139.89,142.36,138.88,140.02,140.02,5683200
2019-04-24,139.67,140.17,137.93,139.59,139.59,2734300
2019-04-25,138.74,140.25,138.03,139.73,139.73,2336300
