Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,51.03,53.99,50.75,53.71,50.56,219822800.0
2014-05-14,,,,,,
2014-06-01,53.84,53.92,51.83,52.68,49.96,202218800.0
2014-07-01,52.99,56.19,52.75,52.75,50.04,221661200.0
2014-08-01,52.47,54.5,52.05,53.13,50.39,179954800.0
2014-08-13,,,,,,
2014-09-01,53.35,54.66,52.28,53.34,50.98,204146800.0
2014-10-01,53.21,60.62,48.8,60.36,57.69,323304000.0
2014-11-01,60.24,64.88,59.75,64.55,61.69,207148400.0
2014-11-12,,,,,,
2014-12-01,64.07,67.33,63.09,65.55,63.14,197323300.0
2015-01-01,65.85,66.69,61.29,63.73,61.38,56075900.0
2015-02-01,64.08,68.62,62.42,67.83,65.33,49162900.0
2015-02-11,,,,,,
2015-03-01,69.18,69.66,64.75,65.41,63.46,136099900.0
2015-03-19,,,,,,
2015-04-01,65.45,69.98,64.35,66.05,64.08,160616100.0
2015-05-01,65.22,70.69,65.15,68.68,66.63,144425000.0
2015-05-13,,,,,,
2015-06-01,69.13,70.02,66.69,67.15,65.26,131162700.0
2015-07-01,67.94,76.92,66.53,75.34,73.22,177282000.0
2015-08-01,75.59,76.17,60.0,71.3,69.3,178918400.0
2015-08-12,,,,,,
2015-09-01,69.41,72.32,67.03,69.66,67.81,208501300.0
2015-10-01,70.09,78.89,68.36,77.58,75.52,177090000.0
2015-11-01,75.19,81.01,74.53,79.01,76.92,183607700.0
2015-11-10,,,,,,
2015-12-01,79.53,80.49,75.52,77.55,75.63,196542500.0
2016-01-01,76.06,76.51,68.76,74.49,72.65,260355100.0
2016-02-01,74.08,74.78,66.12,72.39,70.6,213830500.0
2016-02-10,,,,,,
2016-02-17,,,,,,
2016-03-01,72.99,77.0,69.58,76.48,74.89,195314100.0
2016-04-01,76.25,81.73,75.8,77.24,75.63,174226900.0
2016-05-01,77.81,79.87,76.22,78.94,77.3,146114900.0
2016-05-11,,,,,,
2016-06-01,78.69,81.71,73.25,74.17,72.75,233191700.0
2016-07-01,74.5,80.17,73.83,78.05,76.56,183697800.0
2016-08-01,78.31,81.76,77.73,80.9,79.36,149140400.0
2016-08-17,,,,,,
2016-09-01,81.14,83.79,80.97,82.7,81.26,178862900.0
2016-10-01,82.42,83.7,81.11,82.51,81.08,178625400.0
2016-11-01,82.64,83.96,77.28,77.32,75.98,234440900.0
2016-11-16,,,,,,
2016-12-01,77.57,80.39,75.17,78.02,76.82,244420700.0
2017-01-01,78.76,84.27,78.49,82.71,81.44,159174300.0
2017-02-01,82.9,88.49,81.57,87.94,86.59,167711400.0
2017-02-15,,,,,,
2017-03-01,88.74,92.05,87.85,88.87,87.68,176909000.0
2017-04-01,89.14,92.8,88.13,91.22,89.99,156732200.0
2017-05-01,91.29,95.53,91.14,95.23,93.95,158133400.0
2017-05-17,,,,,,
2017-06-01,95.4,96.6,92.8,93.78,92.68,199847800.0
2017-07-01,94.38,101.18,93.19,99.56,98.4,156786000.0
2017-08-01,100.36,104.2,99.43,103.52,102.31,151827700.0
2017-08-16,,,,,,
2017-09-01,104.04,106.84,102.26,105.24,104.18,141274000.0
2017-10-01,105.54,110.74,104.9,109.98,108.87,142874100.0
2017-11-01,110.5,113.62,106.9,112.59,111.45,137020000.0
2017-11-16,,,,,,
2017-12-01,112.38,114.92,106.6,114.02,113.07,178517500.0
2018-01-01,114.57,126.88,113.95,124.23,123.19,151210800.0
2018-02-01,124.74,126.26,111.02,122.94,121.91,186505200.0
2018-02-15,,,,,,
2018-03-01,123.26,125.44,116.03,119.62,118.83,184691600.0
2018-04-01,119.27,127.9,116.71,126.88,126.04,165179500.0
2018-05-01,126.86,132.5,125.32,130.72,129.85,147538300.0
2018-05-17,,,,,,
2018-06-01,131.84,136.69,129.53,132.45,131.78,154580100.0
2018-07-01,131.96,143.14,131.15,136.74,136.05,161547600.0
2018-08-01,137.74,147.71,137.0,146.89,146.15,143154000.0
2018-08-16,,,,,,
2018-09-01,146.93,150.64,142.54,150.09,149.56,147499300.0
2018-10-01,150.89,151.56,129.79,137.85,137.36,254090900.0
2018-11-01,139.0,145.46,129.54,141.71,141.21,208765500.0
2018-11-15,,,,,,
2018-12-01,145.0,145.72,121.6,131.94,131.71,242678900.0
2019-01-01,130.0,139.9,127.88,135.01,134.77,193199200.0
2019-02-01,135.39,148.82,135.26,148.12,147.86,154774400.0
2019-02-14,,,,,,
2019-03-01,149.46,156.82,144.5,156.19,156.19,207398400.0
2019-04-01,157.53,163.03,156.32,162.93,162.93,120051300.0
2019-04-26,161.26,163.03,160.4,162.93,162.93,7524155.0
