Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,142.5,142.5,140.73,141.59,141.59,563900
2019-04-02,141.58,142.07,140.65,141.98,141.98,480500
2019-04-03,142.33,142.33,138.85,139.54,139.54,871200
2019-04-04,139.66,140.12,139.2,139.9,139.9,416400
2019-04-05,140.14,141.16,139.7,140.76,140.76,416200
2019-04-08,141.06,142.02,139.66,141.97,141.97,517900
2019-04-09,141.42,142.09,140.81,141.0,141.0,465400
2019-04-10,140.97,141.46,140.32,140.59,140.59,608900
2019-04-11,140.98,140.98,139.88,140.52,140.52,458000
2019-04-12,141.0,142.32,141.0,141.5,141.5,589400
2019-04-15,141.4,141.73,140.49,141.04,141.04,629900
2019-04-16,141.58,142.01,136.62,137.12,137.12,614600
2019-04-17,137.69,137.69,131.35,131.66,131.66,719800
2019-04-18,132.05,132.51,129.06,130.78,130.78,1287500
2019-04-22,130.06,133.86,129.98,130.47,130.47,723300
2019-04-23,130.9,134.33,130.48,132.91,132.91,936900
2019-04-24,132.77,134.84,132.76,133.27,133.27,1035400
2019-04-25,129.27,134.87,126.05,133.7,133.7,1706700
