Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,87.63,87.68,86.75,87.33,87.33,1684200
2019-04-02,86.89,87.48,86.3,86.79,86.79,1714700
2019-04-03,87.3,87.5,86.86,87.45,87.45,1478100
2019-04-04,87.71,89.59,87.47,89.55,89.55,1379200
2019-04-05,89.63,89.95,88.87,89.17,89.17,1897700
2019-04-08,89.52,90.29,88.87,89.83,89.83,2049900
2019-04-09,89.37,89.87,88.47,88.69,88.69,1625400
2019-04-10,88.77,89.45,88.66,89.35,89.35,1389400
2019-04-11,89.64,89.93,88.89,89.3,89.3,1093800
2019-04-12,89.45,90.77,89.31,90.71,90.71,1721600
2019-04-15,90.87,91.39,90.71,91.2,91.2,1433100
2019-04-16,91.2,93.6,91.03,93.32,93.32,5352200
2019-04-17,93.41,95.69,93.41,95.5,95.5,5281300
2019-04-18,95.31,96.2,94.56,95.55,95.55,2354400
2019-04-22,95.06,95.92,94.48,94.85,94.85,1709300
2019-04-23,94.85,95.04,93.78,94.59,94.59,1913300
2019-04-24,94.72,95.28,94.01,94.73,94.73,1510200
2019-04-25,94.75,94.91,93.47,94.01,94.01,1550500
