Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,85.87,86.84,85.43,86.43,86.43,2919100
2019-04-02,86.24,86.24,84.42,84.45,84.45,2924700
2019-04-03,85.11,86.02,83.85,84.26,84.26,2983200
2019-04-04,84.26,84.63,83.04,84.35,84.35,3267700
2019-04-05,84.46,86.73,84.24,86.69,86.69,2966700
2019-04-08,86.89,87.34,86.03,86.2,86.2,2141200
2019-04-09,86.03,86.03,84.77,85.11,85.11,2419400
2019-04-10,85.81,88.93,85.58,88.43,88.43,5232400
2019-04-11,88.48,90.44,88.13,89.04,89.04,3682100
2019-04-12,89.78,90.13,87.89,88.41,88.41,4003200
2019-04-15,88.4,88.41,86.62,87.65,87.65,2824600
2019-04-16,87.7,88.58,86.96,88.32,88.32,2507300
2019-04-17,88.91,90.07,88.69,89.42,89.42,3209300
2019-04-18,89.44,89.71,87.81,88.04,88.04,2670000
2019-04-22,88.58,91.36,88.51,91.15,91.15,3063000
2019-04-23,91.43,91.52,89.72,90.28,90.28,4232500
2019-04-24,90.43,90.43,87.61,87.73,87.73,5046400
2019-04-25,87.75,92.7,87.65,90.83,90.83,6312000
