Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,133.67,134.42,132.72,134.24,134.24,775700
2019-04-02,134.22,135.03,133.57,134.91,134.91,636900
2019-04-03,135.43,136.99,135.04,136.31,136.31,1238700
2019-04-04,136.32,136.7,135.37,135.71,135.71,492800
2019-04-05,135.85,136.69,135.17,135.52,135.52,862500
2019-04-08,134.88,135.77,134.25,135.38,135.38,659600
2019-04-09,134.95,135.51,134.49,135.15,135.15,368900
2019-04-10,135.21,135.56,134.46,134.76,134.76,867600
2019-04-11,134.96,135.84,134.31,135.79,135.79,554200
2019-04-12,136.29,137.0,135.51,136.98,136.98,485200
2019-04-15,136.9,137.92,136.18,137.85,137.85,446500
2019-04-16,138.64,138.93,136.38,136.54,136.54,702100
2019-04-17,137.2,137.2,136.17,136.94,136.94,665800
2019-04-18,137.34,138.47,136.34,137.99,137.99,373900
2019-04-22,137.6,137.92,137.0,137.64,137.64,550600
2019-04-23,137.97,139.52,136.69,139.47,139.47,518800
2019-04-24,139.47,140.41,139.09,139.5,139.5,502900
2019-04-25,139.09,139.48,138.05,138.79,138.79,626000
