Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,47.32,50.59,46.54,50.08,50.08,27237800
2014-06-01,50.07,51.95,48.35,48.81,48.81,23096300
2014-07-01,48.8,56.33,48.5,54.05,54.05,30496000
2014-08-01,54.41,57.43,52.75,57.08,57.08,21122300
2014-09-01,57.38,57.57,54.81,55.12,55.12,26848100
2014-10-01,55.01,59.85,52.1,59.76,59.76,22735900
2014-11-01,59.67,61.25,58.19,60.1,60.1,17383100
2014-12-01,59.67,60.03,55.42,57.0,57.0,20752400
2015-01-01,57.23,57.92,53.7,54.48,54.48,19628800
2015-02-01,54.47,64.95,53.48,64.02,64.02,25835100
2015-03-01,64.04,67.5,62.61,66.97,66.97,20169700
2015-04-01,66.69,68.25,62.62,63.51,63.51,25414300
2015-05-01,63.9,64.89,62.68,63.19,63.19,19091700
2015-06-01,63.62,64.88,61.31,61.72,61.72,17669700
2015-07-01,62.39,71.73,61.42,70.94,70.94,21315700
2015-08-01,70.61,71.82,64.0,68.94,68.94,21972700
2015-09-01,67.84,71.29,66.25,70.56,70.56,16140100
2015-10-01,70.76,81.49,70.21,80.6,80.6,25117500
2015-11-01,80.86,91.22,80.04,89.44,89.44,24090800
2015-12-01,89.44,93.94,85.98,87.36,87.36,23196400
2016-01-01,85.69,86.15,72.54,75.6,75.6,23009200
2016-02-01,75.03,86.3,70.26,84.49,84.49,25105600
2016-03-01,85.08,90.61,84.65,88.54,88.54,19477800
2016-04-01,88.19,91.99,86.17,86.4,86.4,18737700
2016-05-01,86.49,88.37,82.06,85.46,85.46,15419500
2016-06-01,85.0,87.78,80.47,86.46,86.46,13489500
2016-07-01,86.44,87.19,82.4,86.61,86.61,17770800
2016-08-01,86.35,86.6,74.01,74.45,74.45,27259100
2016-09-01,74.36,82.88,74.31,78.24,78.24,29610600
2016-10-01,78.52,86.98,74.46,84.02,84.02,20705500
2016-11-01,84.0,84.94,77.98,78.85,78.85,15729400
2016-12-01,78.45,82.5,75.71,76.07,76.07,16980700
2017-01-01,76.49,82.0,76.45,80.21,80.21,13075000
2017-02-01,80.09,85.52,79.21,82.47,82.47,22643000
2017-03-01,83.25,88.08,82.56,87.11,87.11,18922400
2017-04-01,87.49,91.8,87.01,88.92,88.92,15407200
2017-05-01,89.2,91.2,87.55,90.16,90.16,17847600
2017-06-01,90.55,94.93,90.39,92.96,92.96,16436100
2017-07-01,93.5,103.79,92.91,101.17,101.17,16979300
2017-08-01,101.0,103.91,97.15,103.75,103.75,14313900
2017-09-01,104.18,106.81,102.06,106.39,106.39,12255300
2017-10-01,106.76,110.82,106.17,107.52,107.52,18983800
2017-11-01,108.14,118.28,107.6,115.1,115.1,20627500
2017-12-01,115.36,117.13,111.61,114.44,114.44,15527300
2018-01-01,114.69,116.64,108.55,114.92,114.92,15913700
2018-02-01,114.21,121.61,105.4,116.02,116.02,24675600
2018-03-01,116.06,127.24,113.04,118.56,118.56,26463800
2018-04-01,118.17,127.16,114.01,117.42,117.42,24876800
2018-05-01,117.13,131.44,116.31,130.44,130.44,21029300
2018-06-01,131.35,145.57,131.35,137.42,137.42,21385300
2018-07-01,136.73,159.11,136.63,145.23,145.23,12424000
2018-08-01,145.72,160.08,145.38,158.61,158.61,14691500
2018-09-01,158.75,164.19,154.3,160.12,160.12,16573600
2018-10-01,161.05,161.49,131.28,142.54,142.54,19827500
2018-11-01,142.54,176.76,138.97,156.06,156.06,22066100
2018-12-01,158.66,160.77,138.77,148.29,148.29,19894100
2019-01-01,145.44,170.17,142.37,169.27,169.27,13696300
2019-02-01,169.73,180.21,168.32,178.04,178.04,11701300
2019-03-01,178.9,185.75,173.84,181.56,181.56,12269300
2019-04-01,183.04,203.28,182.11,199.86,199.86,11340400
2019-04-26,194.4,203.28,191.0,199.86,199.86,1073790
