Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,185.2,187.38,184.68,186.05,186.05,1030000
2019-04-02,185.96,189.43,184.91,187.11,187.11,814400
2019-04-03,187.9,188.98,187.01,187.89,187.89,829400
2019-04-04,188.22,188.34,182.49,184.15,184.15,1193400
2019-04-05,184.49,189.35,184.24,188.89,188.89,2289000
2019-04-08,189.27,189.95,186.67,188.93,188.93,910100
2019-04-09,188.01,189.7,187.75,188.31,188.31,976000
2019-04-10,188.32,191.71,187.07,190.37,190.37,1155900
2019-04-11,191.08,191.42,184.22,185.12,185.12,1971900
2019-04-12,185.42,186.47,182.31,182.78,182.78,1077400
2019-04-15,182.27,184.32,180.24,182.49,182.49,826700
2019-04-16,183.63,184.8,179.59,179.74,179.74,900300
2019-04-17,180.45,180.75,166.65,166.97,166.97,2851100
2019-04-18,169.96,170.45,163.68,168.16,168.16,3195700
2019-04-22,167.79,169.86,166.2,168.52,168.52,1213500
2019-04-23,169.22,175.6,168.77,175.37,175.37,1514600
2019-04-24,175.58,175.86,171.76,172.58,172.58,1164500
2019-04-25,172.4,175.22,170.2,174.61,174.61,806500
