Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,63.57,63.67,62.36,63.26,63.26,2257600
2019-04-02,63.3,63.65,62.44,63.61,63.61,2026500
2019-04-03,63.47,63.59,62.67,62.81,62.81,2196500
2019-04-04,62.93,62.93,61.82,62.4,62.4,1669000
2019-04-05,62.32,63.28,62.06,63.18,63.18,1378500
2019-04-08,63.25,63.49,62.19,62.21,62.21,1112800
2019-04-09,62.27,62.33,61.95,62.11,62.11,1131600
2019-04-10,62.44,62.93,62.21,62.6,62.6,1329200
2019-04-11,62.62,62.83,61.7,61.89,61.89,1576500
2019-04-12,61.76,62.04,61.05,62.03,62.03,1388000
2019-04-15,62.05,62.26,61.64,62.1,62.1,1322200
2019-04-16,62.01,62.08,59.51,59.75,59.75,2671600
2019-04-17,59.8,59.83,58.05,58.29,58.29,2662800
2019-04-18,58.28,59.32,58.04,59.03,59.03,1565900
2019-04-22,58.87,59.0,57.2,57.77,57.77,2943900
2019-04-23,58.16,58.71,57.81,58.39,58.39,2545100
2019-04-24,58.79,59.77,58.51,59.52,59.52,2701400
2019-04-25,59.42,60.04,59.08,59.48,59.48,2345900
