Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,59.39,59.41,58.79,59.09,58.49,16331100
2019-04-02,59.22,59.23,58.34,58.53,57.93,11408100
2019-04-03,58.78,59.07,58.41,58.87,58.27,15491700
2019-04-04,58.84,59.1,58.77,58.99,58.39,8776000
2019-04-05,59.02,59.1,58.82,59.09,58.49,11497800
2019-04-08,59.02,59.13,58.72,59.13,58.53,11680500
2019-04-09,58.37,58.56,58.04,58.4,58.4,10414400
2019-04-10,58.4,58.7,58.36,58.61,58.61,8782100
2019-04-11,58.65,58.73,58.2,58.56,58.56,9219900
2019-04-12,58.75,58.79,58.52,58.74,58.74,10847500
2019-04-15,58.91,58.95,58.59,58.71,58.71,7741500
2019-04-16,58.79,58.98,58.66,58.79,58.79,10239300
2019-04-17,58.4,58.46,57.64,57.78,57.78,15498000
2019-04-18,57.51,58.2,57.28,58.04,58.04,13189000
2019-04-22,58.14,58.49,57.89,58.37,58.37,11950400
2019-04-23,57.62,57.72,56.3,57.15,57.15,23488700
2019-04-24,57.34,57.57,56.73,57.08,57.08,13227100
2019-04-25,56.82,56.9,55.75,55.85,55.85,17385600
