Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,74.13,74.77,73.42,74.67,74.67,1876500
2019-04-02,74.6,75.42,74.19,74.76,74.76,1028200
2019-04-03,75.06,75.49,74.18,74.98,74.98,1181900
2019-04-04,75.07,76.09,74.8,76.08,76.08,1133100
2019-04-05,76.4,76.8,76.04,76.24,76.24,1050200
2019-04-08,76.0,76.1,75.05,75.42,75.42,1138700
2019-04-09,74.84,74.91,73.85,73.95,73.95,972000
2019-04-10,74.0,74.53,73.48,74.36,74.36,840500
2019-04-11,74.36,74.98,73.82,74.95,74.95,906200
2019-04-12,75.65,77.02,75.48,76.78,76.78,1144900
2019-04-15,76.62,76.83,75.15,75.65,75.65,883000
2019-04-16,75.78,76.99,75.52,76.97,76.97,1042000
2019-04-17,77.17,77.83,76.69,77.06,77.06,1563300
2019-04-18,77.47,78.35,77.04,77.93,77.93,1436900
2019-04-22,77.5,77.64,76.37,76.5,76.5,929600
2019-04-23,76.62,76.93,76.2,76.74,76.74,974800
2019-04-24,76.19,77.31,75.44,76.58,76.58,1167100
2019-04-25,77.25,77.25,70.24,71.46,71.46,5177200
