Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,98.18,105.67,97.86,100.16,100.16,16323200
2014-06-01,100.23,107.4,100.11,104.44,104.44,10180100
2014-07-01,104.93,108.89,99.16,103.44,103.44,10705000
2014-08-01,103.21,105.13,102.08,103.43,103.43,7564800
2014-09-01,103.48,104.6,99.08,99.12,99.12,9711000
2014-10-01,99.3,112.4,93.56,110.8,110.8,17185600
2014-11-01,111.0,117.71,110.7,115.9,115.9,8390700
2014-12-01,115.45,117.57,110.85,112.72,112.72,8961100
2015-01-01,113.57,122.8,111.77,119.05,119.05,9724500
2015-02-01,119.0,122.25,117.16,120.38,120.38,6333600
2015-03-01,120.17,125.86,116.83,124.32,124.32,8699800
2015-04-01,124.02,129.41,120.79,125.19,125.19,8704300
2015-05-01,125.99,135.9,125.34,133.62,133.62,10314700
2015-06-01,134.04,137.39,127.72,128.38,128.38,10319400
2015-07-01,129.28,134.39,125.03,133.49,133.49,10107000
2015-08-01,133.42,136.17,115.32,121.38,121.38,10745400
2015-09-01,119.11,125.96,113.98,118.21,118.21,10247900
2015-10-01,118.13,129.93,115.21,127.8,127.8,10382100
2015-11-01,128.21,134.83,127.54,132.82,132.82,10014400
2015-12-01,133.33,136.95,126.88,134.58,134.58,9479900
2016-01-01,132.56,133.02,115.71,121.21,121.21,13374500
2016-02-01,121.68,123.27,112.0,120.31,120.31,9317900
2016-03-01,121.09,132.87,120.52,131.92,131.92,10995200
2016-04-01,130.91,138.92,128.9,130.16,130.16,13471900
2016-05-01,130.88,138.32,129.69,137.55,137.55,9831200
2016-06-01,137.08,140.75,131.35,140.65,140.65,9304300
2016-07-01,140.58,159.46,140.5,158.93,158.93,9092000
2016-08-01,158.9,162.53,155.95,157.31,157.31,10022400
2016-09-01,157.42,160.26,150.08,158.49,158.49,10069300
2016-10-01,157.35,160.0,136.61,139.14,139.14,14405000
2016-11-01,139.15,145.27,133.9,134.57,134.57,13296700
2016-12-01,134.44,141.93,133.35,134.39,134.39,10838700
2017-01-01,135.05,149.75,134.68,141.65,141.65,18411200
2017-02-01,142.04,157.72,141.46,154.99,154.99,9769200
2017-03-01,156.12,158.81,152.05,156.31,156.31,9820100
2017-04-01,156.39,174.68,154.15,169.89,169.89,10527000
2017-05-01,171.48,181.03,169.34,179.62,179.62,10732600
2017-06-01,180.55,187.65,179.18,183.84,183.84,9857800
2017-07-01,184.98,185.98,171.32,173.44,173.44,11092100
2017-08-01,173.91,183.9,173.91,183.48,183.48,9519200
2017-09-01,183.66,190.39,177.58,179.52,179.52,9254500
2017-10-01,179.71,199.78,179.27,196.05,196.05,12186800
2017-11-01,197.3,200.71,191.84,197.17,197.17,7584100
2017-12-01,197.45,201.95,192.48,193.19,193.19,8169200
2018-01-01,194.12,220.2,193.6,215.61,215.61,11246800
2018-02-01,214.16,218.66,187.66,204.64,204.64,9652300
2018-03-01,204.81,215.34,196.2,198.65,198.65,9883100
2018-04-01,198.81,211.78,188.36,188.41,188.41,12836200
2018-05-01,188.36,197.73,187.28,192.62,192.62,12512900
2018-06-01,194.11,210.02,190.35,193.59,193.59,14605300
2018-07-01,192.25,202.79,190.73,197.27,197.27,12210200
2018-08-01,196.4,197.64,184.81,189.48,189.48,9455000
2018-09-01,188.43,199.66,186.76,194.68,194.68,9226700
2018-10-01,195.76,195.98,167.94,189.69,189.69,18639000
2018-11-01,190.1,204.64,189.31,198.58,198.58,11229100
2018-12-01,199.61,202.65,173.41,188.65,188.65,10839600
2019-01-01,186.08,232.33,174.95,231.22,231.22,16203100
2019-02-01,231.62,242.53,228.06,242.22,242.22,10617900
2019-03-01,244.42,252.24,236.53,251.71,251.71,11062600
2019-04-01,253.31,255.21,199.31,214.23,214.23,14118000
2019-04-26,214.04,214.35,211.93,214.23,214.23,519331
