Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,133.65,134.6,132.25,134.47,134.47,572200
2019-04-02,134.41,135.15,133.4,134.59,134.59,563700
2019-04-03,134.86,134.93,132.22,132.77,132.77,785400
2019-04-04,132.71,134.47,132.4,134.47,134.47,610100
2019-04-05,134.66,136.68,134.12,136.11,136.11,614700
2019-04-08,136.3,137.99,134.95,137.87,137.87,569000
2019-04-09,137.61,137.61,134.41,134.78,134.78,553200
2019-04-10,135.43,137.3,134.74,137.03,137.03,568200
2019-04-11,137.16,140.39,136.46,139.72,139.72,582100
2019-04-12,139.5,140.63,138.46,139.88,139.88,865300
2019-04-15,139.99,140.22,136.02,136.37,136.37,1141100
2019-04-16,135.3,137.58,135.24,137.35,137.35,749100
2019-04-17,137.39,139.07,135.89,136.88,136.88,562600
2019-04-18,136.6,139.82,136.55,139.06,139.06,675000
2019-04-22,139.38,141.25,138.91,139.36,139.36,1789500
2019-04-23,144.13,144.9,138.71,139.93,139.93,2971000
2019-04-24,140.62,140.62,135.5,139.21,139.21,1216300
2019-04-25,138.59,138.59,134.34,135.04,135.04,991600
