Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,176.11,178.18,174.51,176.11,176.11,802200
2019-04-02,176.78,178.1,175.62,177.2,177.2,696100
2019-04-03,178.42,179.39,176.23,177.82,177.82,717900
2019-04-04,178.12,179.03,176.87,178.51,178.51,371200
2019-04-05,178.52,179.26,177.82,178.08,178.08,468000
2019-04-08,178.24,178.67,176.69,178.45,178.45,376000
2019-04-09,178.02,178.12,176.67,178.03,178.03,364700
2019-04-10,178.37,179.24,177.76,179.04,179.04,410500
2019-04-11,179.2,180.37,178.95,179.77,179.77,373500
2019-04-12,180.84,181.89,179.99,180.72,180.72,426200
2019-04-15,180.47,181.01,177.83,180.74,180.74,268300
2019-04-16,181.42,181.68,180.63,181.21,181.21,387300
2019-04-17,182.0,182.0,175.6,176.9,176.9,887800
2019-04-18,178.53,178.53,175.03,177.37,177.37,550800
2019-04-22,177.31,178.34,176.25,177.26,177.26,310200
2019-04-23,177.57,180.08,177.06,180.0,180.0,459600
2019-04-24,179.7,182.31,178.87,179.56,179.56,451200
2019-04-25,178.26,180.24,177.23,180.17,180.17,505100
