Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,70.56,71.08,69.8,70.06,70.06,1020800
2019-04-02,70.37,71.28,68.48,68.57,68.57,958300
2019-04-03,68.8,68.96,65.31,65.69,65.69,2125200
2019-04-04,65.69,67.05,64.57,66.48,66.48,2632000
2019-04-05,66.78,69.02,66.78,68.83,68.83,1593500
2019-04-08,69.42,70.29,68.49,69.32,69.32,1149000
2019-04-09,68.9,69.05,66.7,66.82,66.82,1096200
2019-04-10,67.29,68.37,66.91,67.97,67.97,1253900
2019-04-11,67.77,68.34,66.14,67.2,67.2,1052400
2019-04-12,70.48,71.34,69.13,70.83,70.83,2936000
2019-04-15,70.54,71.23,69.55,69.59,69.59,1133600
2019-04-16,69.76,70.0,68.61,69.57,69.57,1291400
2019-04-17,69.99,70.42,68.09,69.02,69.02,1284400
2019-04-18,69.08,69.52,67.95,69.3,69.3,1102200
2019-04-22,70.26,70.5,69.41,70.45,70.45,1619700
2019-04-23,70.55,71.55,69.58,71.24,71.24,1486300
2019-04-24,71.27,72.46,70.77,70.86,70.86,1793700
2019-04-25,70.86,71.44,69.66,69.67,69.67,813000
