Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,31.81,32.37,29.83,30.76,25.95,57639500.0
2014-06-01,30.69,32.29,30.05,32.23,27.19,49846800.0
2014-06-17,,,,,,
2014-07-01,32.17,32.26,30.73,30.8,26.24,46563500.0
2014-08-01,30.73,32.06,29.6,32.05,27.3,44780700.0
2014-09-01,32.02,32.48,30.12,30.4,25.9,48235500.0
2014-09-16,,,,,,
2014-10-01,30.74,33.76,30.18,33.47,28.79,92842500.0
2014-11-01,33.62,34.1,32.95,33.94,29.19,57369600.0
2014-12-01,33.56,37.58,33.49,35.92,30.89,67374400.0
2014-12-23,,,,,,
2015-01-01,36.02,38.35,35.6,37.53,32.55,52465700.0
2015-02-01,37.56,37.84,34.6,35.28,30.6,76390200.0
2015-03-01,35.25,35.39,33.41,34.81,30.19,85070200.0
2015-03-13,,,,,,
2015-04-01,34.62,35.35,33.51,33.91,29.69,48401700.0
2015-05-01,33.89,34.85,32.71,34.05,29.81,64394400.0
2015-06-01,34.14,34.3,31.76,32.18,28.17,72132200.0
2015-06-16,,,,,,
2015-07-01,32.23,35.15,32.12,34.67,30.65,61180000.0
2015-08-01,34.69,36.48,32.83,33.73,29.82,71749500.0
2015-09-01,33.33,35.45,32.43,35.41,31.31,78564400.0
2015-09-15,,,,,,
2015-10-01,35.42,37.25,34.64,35.63,31.81,70139600.0
2015-11-01,35.67,36.32,34.33,35.66,31.84,65962200.0
2015-12-01,35.8,36.72,34.33,35.91,32.06,85389000.0
2015-12-22,,,,,,
2016-01-01,35.61,38.26,35.19,38.22,34.43,76141700.0
2016-02-01,38.09,40.42,36.25,39.54,35.62,91672900.0
2016-03-01,39.67,41.85,38.26,41.82,37.68,71781800.0
2016-03-11,,,,,,
2016-04-01,41.69,42.04,38.43,40.03,36.37,72391100.0
2016-05-01,40.24,41.98,39.69,41.37,37.59,63612000.0
2016-06-01,41.32,44.78,40.99,44.78,40.68,69344600.0
2016-06-14,,,,,,
2016-07-01,45.0,45.42,43.1,43.98,40.28,63079900.0
2016-08-01,43.85,44.13,41.07,41.36,37.88,63741100.0
2016-09-01,41.33,43.49,40.34,41.14,37.68,70511400.0
2016-09-13,,,,,,
2016-10-01,41.05,41.8,39.08,41.55,38.37,64343400.0
2016-11-01,41.57,41.75,38.0,39.01,36.02,67721700.0
2016-12-01,38.79,41.2,38.22,40.7,37.58,48288300.0
2016-12-22,,,,,,
2017-01-01,40.74,41.43,40.04,41.32,38.47,46237600.0
2017-02-01,40.98,43.82,40.43,43.71,40.7,47923000.0
2017-03-01,43.05,45.06,42.93,44.45,41.39,62791900.0
2017-03-13,,,,,,
2017-04-01,44.4,45.44,44.0,45.05,42.3,43567800.0
2017-05-01,45.06,48.01,44.47,47.91,44.98,51196300.0
2017-06-01,47.88,48.5,45.79,45.88,43.08,60333100.0
2017-06-13,,,,,,
2017-07-01,46.03,47.7,45.18,47.31,44.76,57827300.0
2017-08-01,47.31,49.7,47.18,49.5,46.83,46744100.0
2017-09-01,49.55,50.56,46.69,47.32,44.77,56723400.0
2017-09-14,,,,,,
2017-10-01,47.47,49.83,46.86,49.52,47.2,60736400.0
2017-11-01,49.66,52.22,48.93,51.61,49.19,65152500.0
2017-12-01,51.7,51.84,47.53,48.11,45.85,61906000.0
2017-12-27,,,,,,
2018-01-01,48.22,48.36,44.74,45.64,43.83,70726900.0
2018-02-01,45.67,45.78,41.51,43.28,41.56,77998200.0
2018-03-01,43.29,45.87,42.57,45.48,43.68,85811000.0
2018-03-14,,,,,,
2018-04-01,45.6,47.38,43.93,46.84,45.38,67266400.0
2018-05-01,46.85,46.93,43.28,45.52,44.1,58844300.0
2018-06-01,45.61,46.24,41.99,45.68,44.25,70886700.0
2018-06-14,,,,,,
2018-07-01,45.84,47.15,44.54,46.86,45.81,63540000.0
2018-08-01,46.54,48.72,45.87,48.05,46.97,70896400.0
2018-09-01,48.34,49.49,46.01,47.21,46.15,67007600.0
2018-09-13,,,,,,
2018-10-01,46.97,50.53,46.52,49.01,48.29,79449000.0
2018-11-01,49.07,52.49,47.44,52.45,51.68,114050100.0
2018-12-01,52.22,54.11,48.16,49.27,48.54,99331000.0
2018-12-27,,,,,,
2019-01-01,49.16,52.58,47.7,52.36,51.99,82356900.0
2019-02-01,52.27,55.36,51.53,54.86,54.47,62691600.0
2019-03-01,54.87,57.51,54.29,56.21,55.81,72269500.0
2019-03-14,,,,,,
2019-04-01,56.25,56.71,54.46,55.92,55.92,56342400.0
2019-04-26,56.2,56.7,55.88,55.92,55.92,2146572.0
