Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,128.88,129.97,128.3,129.73,129.73,3872700
2019-04-02,130.0,130.27,128.42,129.09,129.09,2668600
2019-04-03,130.11,130.65,127.52,128.57,128.57,3458700
2019-04-04,128.71,129.83,126.82,127.82,127.82,2798500
2019-04-05,128.81,129.41,127.95,129.08,129.08,2003900
2019-04-08,129.07,130.01,127.35,129.9,129.9,2128400
2019-04-09,129.3,130.15,127.66,128.93,128.93,2641300
2019-04-10,129.41,133.07,129.04,131.59,131.59,4153700
2019-04-11,131.41,132.51,130.63,132.07,132.07,1663400
2019-04-12,133.1,134.48,132.5,134.41,134.41,3030500
2019-04-15,134.41,135.38,133.45,134.06,134.06,2771500
2019-04-16,134.73,135.75,133.39,134.98,134.98,3051400
2019-04-17,136.0,137.23,134.66,135.82,135.82,2539500
2019-04-18,136.0,136.39,132.93,134.95,134.95,4030900
2019-04-22,135.0,135.69,133.38,134.44,134.44,1984400
2019-04-23,135.0,137.46,134.75,137.15,137.15,3455200
2019-04-24,137.45,141.6,136.81,139.72,139.72,8556400
2019-04-25,126.35,126.6,115.25,115.86,115.86,24022200
