Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,100.43,100.76,99.82,100.58,100.58,1195200
2019-04-02,100.7,100.7,99.49,100.18,100.18,959600
2019-04-03,100.49,100.69,99.86,100.54,100.54,1060200
2019-04-04,100.58,100.77,99.94,100.45,100.45,860700
2019-04-05,100.32,100.58,99.85,99.96,99.96,1600100
2019-04-08,99.76,99.9,99.0,99.59,99.59,1340000
2019-04-09,99.14,99.52,98.99,99.48,99.48,993000
2019-04-10,99.89,100.46,99.52,100.04,100.04,1187700
2019-04-11,99.81,100.81,99.73,100.77,100.77,1169800
2019-04-12,101.0,101.6,100.9,101.4,101.4,1193100
2019-04-15,101.38,102.16,101.22,101.64,101.64,1234000
2019-04-16,102.0,102.08,101.13,101.63,101.63,863500
2019-04-17,101.88,102.12,101.33,101.5,101.5,920400
2019-04-18,101.7,103.43,101.61,103.32,103.32,1261600
2019-04-22,103.0,103.36,102.73,103.18,103.18,833200
2019-04-23,103.11,104.19,102.73,102.92,102.92,1474000
2019-04-24,103.26,104.04,103.1,103.34,103.34,1304600
2019-04-25,103.09,103.69,102.51,103.45,103.45,1057900
