Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,102.41,102.47,101.29,101.54,101.37,2659700
2019-04-02,101.74,102.38,101.57,102.04,101.87,1737900
2019-04-03,102.33,102.67,101.58,102.12,101.95,1769100
2019-04-04,102.19,102.4,100.64,101.98,101.81,2475500
2019-04-05,102.51,103.33,101.68,102.12,101.95,1865700
2019-04-08,102.23,102.5,101.7,102.23,102.06,1909500
2019-04-09,101.59,101.95,101.19,101.46,101.29,1657100
2019-04-10,101.75,101.98,101.22,101.33,101.16,1566700
2019-04-11,101.65,101.74,100.75,101.06,100.89,1062700
2019-04-12,101.56,101.93,100.92,101.67,101.5,1829000
2019-04-15,101.86,102.0,101.17,101.26,101.09,1680400
2019-04-16,101.96,102.33,99.05,99.17,99.01,2014200
2019-04-17,99.41,99.93,96.89,97.98,97.98,2142500
2019-04-18,98.53,99.25,97.1,99.03,99.03,3420400
2019-04-22,98.72,100.15,98.64,100.12,100.12,2058500
2019-04-23,100.26,102.15,99.6,101.97,101.97,2716900
2019-04-24,101.89,102.24,101.03,101.1,101.1,2196400
2019-04-25,100.77,102.01,100.01,101.83,101.83,1454100
